# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 144, 144,2127,175
 1, 1, 2,  62,  62,175,2127
 1, 2, 1, 108, 252,175,174
 1, 2, 2,  68, 130,174,175
 1, 3, 1,   8, 260,174,615
 1, 3, 2,  24, 154,615,174
 1, 4, 1,  32, 292,615,243
 1, 4, 2,  16, 170,243,615
 1, 5, 1,  31, 323,243,448
 1, 5, 2,  16, 186,448,243
 1, 6, 1,  60, 383,448,118
 1, 6, 2,  17, 203,118,448
 1, 7, 1,  16, 399,118,496
 1, 7, 2,  16, 219,496,118
 1, 8, 1,  45, 444,496,610
 1, 8, 2,   9, 228,610,496
 1, 9, 1,  26, 470,610,103
 1, 9, 2,  27, 255,103,610
 1,10, 1,   7, 477,103,614
 1,10, 2,  20, 275,614,103
 1,11, 1,  18, 495,614,613
 1,11, 2,  18, 293,613,614
 1,12, 1,  14, 509,613,104
 1,12, 2,   9, 302,104,613
 1,13, 1,  32, 541,104,758
 1,13, 2,   5, 307,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  33,  51,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  37,  88,196,26
 2, 3, 2, 105, 150,26,196
 2, 4, 1,  37, 125,26,193
 2, 4, 2,  46, 196,193,26
 2, 5, 1, 186, 311,193,37
 2, 5, 2,  38, 234,37,193
 2, 6, 1,  20, 331,37,152
 2, 6, 2,  26, 260,152,37
 2, 7, 1,  24, 355,152,760
 2, 7, 2,  46, 306,760,152
 3, 1, 1,  17,  17,269,39
 3, 1, 2,  18,  18,39,269
 3, 2, 1,  28,  45,39,116
 3, 2, 2,  29,  47,116,39
 3, 3, 1,  64, 109,116,133
 3, 3, 2,  63, 110,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  41, 149,470,597
 4, 3, 1,  19, 165,470,125
 4, 3, 2,  18, 167,125,470
 4, 4, 1,  34, 199,125,667
 4, 4, 2,  41, 208,667,125
 4, 5, 1,  19, 218,667,422
 4, 5, 2,  19, 227,422,667
 4, 6, 1,  37, 255,422,151
 4, 6, 2, 163, 390,151,422
 4, 7, 1,  72, 327,151,20
 4, 7, 2,  90, 480,20,151
 4, 8, 1,   7, 334,20,741
 4, 8, 2,   7, 487,741,20
 4, 9, 1,  18, 352,741,773
 4, 9, 2,  18, 505,773,741
 4,10, 1,  17, 369,773,152
 4,10, 2,   5, 510,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  46, 136,528,510
 5, 3, 1,  15, 151,528,327
 5, 3, 2,  14, 150,327,528
 5, 4, 1,  15, 166,327,458
 5, 4, 2,  16, 166,458,327
 5, 5, 1,  23, 189,458,459
 5, 5, 2,  23, 189,459,458
 5, 6, 1,  87, 276,459,405
 5, 6, 2,  87, 276,405,459
 6, 1, 1,  23,  23,405,150
 6, 1, 2,  52,  52,150,405
 6, 2, 1,  23,  46,150,148
 6, 2, 2,  33,  85,148,150
 6, 3, 1,  21,  67,148,149
 6, 3, 2,  29, 114,149,148
 6, 4, 1,  73, 140,149,44
 6, 4, 2,  78, 192,44,149
 6, 5, 1,  29, 169,44,351
 6, 5, 2,  29, 221,351,44
 6, 6, 1,   9, 178,351,36
 6, 6, 2,   7, 228,36,351
 6, 7, 1,  22, 200,36,776
 6, 7, 2,  72, 300,776,36
 6, 8, 1,   7, 207,776,37
 6, 8, 2,   7, 307,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2,  59,  59,691,179
 7, 2, 1,  20,  63,691,64
 7, 2, 2,  14,  73,64,691
 7, 3, 1,  22,  85,64,65
 7, 3, 2,  24,  97,65,64
 7, 4, 1,  36, 121,65,66
 7, 4, 2,  36, 133,66,65
 7, 5, 1,  39, 160,66,750
 7, 5, 2,   4, 137,750,66
 7, 6, 1,  59, 219,750,63
 7, 6, 2,  59, 196,63,750
 7, 7, 1,  30, 249,63,67
 7, 7, 2,  35, 231,67,63
 7, 8, 1,  24, 273,67,55
 7, 8, 2, 122, 353,55,67
 7, 9, 1,  27, 300,55,61
 7, 9, 2,  26, 379,61,55
 7,10, 1,  19, 319,61,59
 7,10, 2,  52, 431,59,61
 7,11, 1,  18, 337,59,76
 7,11, 2,  24, 455,76,59
 7,12, 1,  23, 360,76,141
 7,12, 2,  22, 477,141,76
 7,13, 1,  14, 374,141,166
 7,13, 2,  32, 509,166,141
 7,14, 1,  16, 390,166,182
 7,14, 2,  14, 523,182,166
 7,15, 1,  14, 404,182,403
 7,15, 2,  22, 545,403,182
 8, 1, 1,  31,  31,81,38
 8, 1, 2,  45,  45,38,81
 8, 2, 1,  58,  89,38,280
 8, 2, 2,  65, 110,280,38
 8, 3, 1,  37, 126,280,142
 8, 3, 2,  36, 146,142,280
 8, 4, 1,  16, 142,142,126
 8, 4, 2,  44, 190,126,142
 8, 5, 1,   7, 149,126,653
 8, 5, 2,  84, 274,653,126
 8, 6, 1,  19, 168,653,35
 8, 6, 2,  14, 288,35,653
 8, 7, 1,  15, 183,35,193
 8, 7, 2,  43, 331,193,35
 9, 1, 1,  39,  39,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 139,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 207,90,630
 9, 3, 2,  69, 206,630,90
 9, 4, 1,  71, 278,630,223
 9, 4, 2,  70, 276,223,630
 9, 5, 1,  72, 350,223,224
 9, 5, 2,  72, 348,224,223
 9, 6, 1,  41, 391,224,506
 9, 6, 2,  40, 388,506,224
 9, 7, 1,  33, 424,506,41
 9, 7, 2,  32, 420,41,506
 9, 8, 1,  26, 450,41,655
 9, 8, 2,  27, 447,655,41
 9, 9, 1,  43, 493,655,443
 9, 9, 2,  43, 490,443,655
 9,10, 1,  32, 525,443,73
 9,10, 2,  31, 521,73,443
 9,11, 1,  42, 567,73,72
 9,11, 2,  44, 565,72,73
 9,12, 1,  32, 599,72,194
 9,12, 2,  34, 599,194,72
 9,13, 1,  29, 628,194,282
 9,13, 2,  29, 628,282,194
 9,14, 1,  21, 649,282,2
 9,14, 2,  20, 648,2,282
 9,15, 1,  18, 667,2,203
 9,15, 2,  30, 678,203,2
 9,16, 1,  15, 682,203,3
 9,16, 2,  14, 692,3,203
10, 1, 1,  37,  37,124,410
10, 1, 2,  40,  40,410,124
10, 2, 1,  69, 106,410,189
10, 2, 2,  70, 110,189,410
10, 3, 1,   4, 110,189,738
10, 3, 2,  23, 133,738,189
10, 4, 1,  80, 190,738,372
10, 4, 2,  79, 212,372,738
10, 5, 1,  16, 206,372,42
10, 5, 2,  15, 227,42,372
10, 6, 1,  54, 260,42,172
10, 6, 2,  56, 283,172,42
10, 7, 1, 108, 368,172,370
10, 7, 2, 112, 395,370,172
11, 1, 1,  59,  59,130,5
11, 1, 2,  59,  59,5,130
11, 2, 1,  15,  74,5,151
11, 2, 2,  14,  73,151,5
11, 3, 1,  55, 129,151,127
11, 3, 2,  54, 127,127,151
11, 4, 1,  28, 157,127,149
11, 4, 2,   7, 134,149,127
11, 5, 1,  72, 229,149,432
11, 5, 2,  75, 209,432,149
12, 1, 1,   8,   8,832,9
12, 1, 2,   7,   7,9,832
12, 2, 1,  73,  81,9,178
12, 2, 2,  72,  79,178,9
12, 3, 1,  52, 133,178,148
12, 3, 2,  52, 131,148,178
13, 1, 1, 104, 104,2,3
13, 1, 2,  57,  57,3,2
13, 2, 1,  79, 183,3,513
13, 2, 2,  19,  76,513,3
13, 3, 1,  54, 237,513,354
13, 3, 2,  30, 106,354,513
13, 4, 1,  72, 309,354,355
13, 4, 2,  30, 136,355,354
13, 5, 1,  41, 350,355,439
13, 5, 2,  30, 166,439,355
13, 6, 1,  51, 401,439,145
13, 6, 2,  25, 191,145,439
13, 7, 1,  79, 480,145,143
13, 7, 2,  16, 207,143,145
13, 8, 1, 102, 582,143,144
13, 8, 2,  32, 239,144,143
14, 1, 1,  22,  22,456,110
14, 1, 2,  22,  22,110,456
14, 2, 1, 123, 145,110,109
14, 2, 2, 123, 145,109,110
14, 3, 1,  20, 165,109,331
14, 3, 2,  19, 164,331,109
14, 4, 1,  11, 176,331,586
14, 4, 2,  16, 180,586,331
14, 5, 1,  28, 204,586,107
14, 5, 2,  25, 205,107,586
14, 6, 1,  40, 244,107,701
14, 6, 2,  47, 252,701,107
14, 7, 1,  37, 281,701,108
14, 7, 2,  36, 288,108,701
14, 8, 1,  46, 327,108,73
14, 8, 2,  46, 334,73,108
14, 9, 1,  46, 373,73,72
14, 9, 2,  47, 381,72,73
14,10, 1,  26, 399,72,132
14,10, 2,  26, 407,132,72
15, 1, 1,  93,  93,49,50
15, 1, 2,  10,  10,50,49
15, 2, 1,  62, 155,50,272
15, 2, 2,  16,  26,272,50
15, 3, 1,  93, 248,272,229
15, 3, 2,  10,  36,229,272
15, 4, 1,  52, 300,229,196
15, 4, 2,  16,  52,196,229
16, 1, 1,  38,  38,197,196
16, 1, 2,  13,  13,196,197
16, 2, 1,  40,  78,196,232
16, 2, 2,  22,  35,232,196
16, 3, 1,  22, 100,232,226
16, 3, 2,  22,  57,226,232
16, 4, 1,  34, 134,226,272
16, 4, 2,  33,  90,272,226
16, 5, 1,  12, 146,272,50
16, 5, 2,  11, 101,50,272
16, 6, 1,  16, 162,50,49
16, 6, 2,  15, 116,49,50
17, 1, 1, 106, 106,229,301
17, 1, 2, 105, 105,301,229
17, 2, 1,  23, 129,301,163
17, 2, 2,  23, 128,163,301
17, 3, 1,  23, 152,163,70
17, 3, 2,  16, 144,70,163
17, 4, 1,  67, 219,70,157
17, 4, 2,  66, 210,157,70
17, 5, 1,  48, 267,157,295
17, 5, 2,  60, 270,295,157
17, 6, 1,  10, 277,295,158
17, 6, 2,   9, 279,158,295
17, 7, 1,  12, 289,158,623
17, 7, 2,  14, 293,623,158
17, 8, 1,  14, 303,623,156
17, 8, 2,  14, 307,156,623
17, 9, 1,  37, 340,156,155
17, 9, 2,  36, 343,155,156
17,10, 1,  84, 424,155,187
17,10, 2,  84, 427,187,155
17,11, 1,  76, 500,187,599
17,11, 2,  54, 481,599,187
17,12, 1,  72, 572,599,311
17,12, 2, 119, 600,311,599
18, 1, 1,  26,  26,727,797
18, 1, 2,  14,  14,797,727
18, 2, 1, 112, 138,797,456
18, 2, 2, 112, 126,456,797
18, 3, 1,  32, 170,456,110
18, 3, 2,  23, 149,110,456
18, 4, 1,  98, 268,110,109
18, 4, 2,  99, 248,109,110
18, 5, 1,  20, 288,109,331
18, 5, 2,  19, 267,331,109
18, 6, 1,  12, 300,331,586
18, 6, 2,  16, 283,586,331
18, 7, 1,  26, 326,586,107
18, 7, 2,  26, 309,107,586
18, 8, 1,  32, 358,107,701
18, 8, 2,  33, 342,701,107
18, 9, 1,  37, 395,701,108
18, 9, 2,  36, 378,108,701
18,10, 1,   7, 402,108,594
18,10, 2,  11, 389,594,108
18,11, 1,  29, 431,594,73
18,11, 2,  29, 418,73,594
18,12, 1,  61, 492,73,72
18,12, 2,  61, 479,72,73
18,13, 1,  26, 518,72,132
18,13, 2,  26, 505,132,72
18,14, 1,  29, 547,132,194
18,14, 2,  14, 519,194,132
18,15, 1,  36, 583,194,282
18,15, 2,  37, 556,282,194
18,16, 1,  39, 622,282,2
18,16, 2,  25, 581,2,282
18,17, 1,  58, 680,2,3
18,17, 2,  58, 639,3,2
18,18, 1,  20, 700,3,513
18,18, 2,  20, 659,513,3
18,19, 1,  13, 713,513,354
18,19, 2,  14, 673,354,513
18,20, 1,  16, 729,354,355
18,20, 2,  10, 683,355,354
18,21, 1,  48, 777,355,184
18,21, 2,  47, 730,184,355
19, 1, 1,  51,  51,420,190
19, 1, 2,  50,  50,190,420
19, 2, 1,  39,  90,190,761
19, 2, 2,   8,  58,761,190
19, 3, 1,  30, 120,761,152
19, 3, 2,  13,  71,152,761
19, 4, 1,  27, 147,152,37
