# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 274, 274,2127,175
 1, 1, 2,  63,  63,175,2127
 1, 2, 1, 128, 402,175,174
 1, 2, 2,  78, 141,174,175
 1, 3, 1,   8, 410,174,615
 1, 3, 2,  62, 203,615,174
 1, 4, 1,  32, 442,615,243
 1, 4, 2,  16, 219,243,615
 1, 5, 1,  31, 473,243,448
 1, 5, 2,  16, 235,448,243
 1, 6, 1, 231, 704,448,118
 1, 6, 2,  17, 252,118,448
 1, 7, 1,  16, 720,118,496
 1, 7, 2,  16, 268,496,118
 1, 8, 1, 130, 850,496,610
 1, 8, 2,   9, 277,610,496
 1, 9, 1,  51, 901,610,103
 1, 9, 2,  35, 312,103,610
 1,10, 1,   7, 908,103,614
 1,10, 2,  20, 332,614,103
 1,11, 1,  18, 926,614,613
 1,11, 2,  18, 350,613,614
 1,12, 1,  19, 945,613,104
 1,12, 2,   9, 359,104,613
 1,13, 1,  32, 977,104,758
 1,13, 2,   5, 364,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1, 122, 140,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  79, 219,196,26
 2, 3, 2, 315, 360,26,196
 2, 4, 1, 183, 402,26,193
 2, 4, 2, 272, 632,193,26
 2, 5, 1, 373, 775,193,37
 2, 5, 2,  92, 724,37,193
 2, 6, 1, 247,1022,37,152
 2, 6, 2,  44, 768,152,37
 2, 7, 1,  43,1065,152,760
 2, 7, 2, 293,1061,760,152
 3, 1, 1,  40,  40,269,39
 3, 1, 2,  96,  96,39,269
 3, 2, 1,  28,  68,39,116
 3, 2, 2,  32, 128,116,39
 3, 3, 1,  72, 140,116,133
 3, 3, 2,  63, 191,133,116
 4, 1, 1, 134, 134,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  79, 213,597,470
 4, 2, 2,  52, 160,470,597
 4, 3, 1,  31, 244,470,125
 4, 3, 2,  18, 178,125,470
 4, 4, 1, 413, 657,125,667
 4, 4, 2, 339, 517,667,125
 4, 5, 1,  27, 684,667,422
 4, 5, 2,  21, 538,422,667
 4, 6, 1,  55, 739,422,151
 4, 6, 2, 264, 802,151,422
 4, 7, 1,  72, 811,151,20
 4, 7, 2, 205,1007,20,151
