# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 198, 198,2127,175
 1, 1, 2,  63,  63,175,2127
 1, 2, 1, 115, 313,175,174
 1, 2, 2,  73, 136,174,175
 1, 3, 1,  74, 387,174,615
 1, 3, 2,  62, 198,615,174
 1, 4, 1,  32, 419,615,243
 1, 4, 2,  52, 250,243,615
 1, 5, 1,  31, 450,243,448
 1, 5, 2,  16, 266,448,243
 1, 6, 1, 116, 566,448,118
 1, 6, 2,  17, 283,118,448
 1, 7, 1,  16, 582,118,496
 1, 7, 2,  16, 299,496,118
 1, 8, 1, 121, 703,496,610
 1, 8, 2,   9, 308,610,496
 1, 9, 1,  51, 754,610,103
 1, 9, 2,  29, 337,103,610
 1,10, 1,   7, 761,103,614
 1,10, 2,  23, 360,614,103
 1,11, 1,  18, 779,614,613
 1,11, 2,  18, 378,613,614
 1,12, 1,  29, 808,613,104
 1,12, 2,  31, 409,104,613
 1,13, 1,  76, 884,104,758
 1,13, 2,   5, 414,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  69,  87,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 221, 308,196,26
 2, 3, 2, 115, 160,26,196
 2, 4, 1,  80, 388,26,193
 2, 4, 2, 102, 262,193,26
 2, 5, 1,  55, 443,193,37
 2, 5, 2,  90, 352,37,193
 2, 6, 1,  56, 499,37,152
 2, 6, 2,  49, 401,152,37
 2, 7, 1,  34, 533,152,760
 2, 7, 2,  54, 455,760,152
 3, 1, 1,  34,  34,269,39
 3, 1, 2,  35,  35,39,269
 3, 2, 1,  28,  62,39,116
 3, 2, 2,  30,  65,116,39
 3, 3, 1,  66, 128,116,133
 3, 3, 2,  63, 128,133,116
 4, 1, 1, 114, 114,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1, 105, 219,597,470
 4, 2, 2,  48, 156,470,597
 4, 3, 1,  67, 286,470,125
 4, 3, 2,  22, 178,125,470
 4, 4, 1,  64, 350,125,667
 4, 4, 2,  41, 219,667,125
 4, 5, 1,  29, 379,667,422
 4, 5, 2,  24, 243,422,667
 4, 6, 1,  82, 461,422,151
 4, 6, 2,  68, 311,151,422
 4, 7, 1,  73, 534,151,20
 4, 7, 2,  79, 390,20,151
 4, 8, 1,   7, 541,20,741
 4, 8, 2,   8, 398,741,20
 4, 9, 1,  18, 559,741,773
 4, 9, 2,  18, 416,773,741
 4,10, 1,  68, 627,773,152
 4,10, 2,   5, 421,152,773
 5, 1, 1, 198, 198,4012,510
 5, 1, 2, 169, 169,510,4012
 5, 2, 1,  45, 243,510,528
 5, 2, 2,  46, 215,528,510
 5, 3, 1,  29, 272,528,327
 5, 3, 2,  14, 229,327,528
 5, 4, 1,  22, 294,327,458
 5, 4, 2,  16, 245,458,327
 5, 5, 1,  27, 321,458,459
 5, 5, 2,  42, 287,459,458
 5, 6, 1,  91, 412,459,405
 5, 6, 2,  87, 374,405,459
 6, 1, 1,  33,  33,405,150
 6, 1, 2, 124, 124,150,405
 6, 2, 1,  23,  56,150,148
 6, 2, 2,  49, 173,148,150
 6, 3, 1,  56, 112,148,149
 6, 3, 2,  15, 188,149,148
 6, 4, 1,  78, 190,149,44
 6, 4, 2,  86, 274,44,149
 6, 5, 1,  29, 219,44,351
 6, 5, 2,  29, 303,351,44
 6, 6, 1,  95, 314,351,36
 6, 6, 2,   7, 310,36,351
 6, 7, 1,  22, 336,36,776
 6, 7, 2,  84, 394,776,36
 6, 8, 1,   7, 343,776,37
 6, 8, 2,   7, 401,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 372, 372,691,179
 7, 2, 1, 104, 147,691,64
 7, 2, 2,  14, 386,64,691
 7, 3, 1,  22, 169,64,65
 7, 3, 2,  27, 413,65,64
 7, 4, 1,  36, 205,65,66
 7, 4, 2,  36, 449,66,65
 7, 5, 1,  53, 258,66,750
 7, 5, 2,   4, 453,750,66
 7, 6, 1,  62, 320,750,63
 7, 6, 2,  59, 512,63,750
 7, 7, 1,  64, 384,63,67
 7, 7, 2,  40, 552,67,63
 7, 8, 1,  41, 425,67,55
 7, 8, 2, 184, 736,55,67
 7, 9, 1,  63, 488,55,61
 7, 9, 2,  40, 776,61,55
 7,10, 1,  54, 542,61,59
 7,10, 2, 150, 926,59,61
 7,11, 1,  18, 560,59,76
 7,11, 2,  48, 974,76,59
 7,12, 1,  35, 595,76,141
 7,12, 2,  22, 996,141,76
 7,13, 1,  14, 609,141,166
 7,13, 2,  78,1074,166,141
 7,14, 1,  31, 640,166,182
 7,14, 2,  14,1088,182,166
 7,15, 1,  14, 654,182,403
 7,15, 2,  34,1122,403,182
 8, 1, 1,  37,  37,81,38
 8, 1, 2,  36,  36,38,81
 8, 2, 1,  58,  95,38,280
 8, 2, 2,  81, 117,280,38
 8, 3, 1,  39, 134,280,142
 8, 3, 2,  36, 153,142,280
 8, 4, 1,  23, 157,142,126
 8, 4, 2,  68, 221,126,142
 8, 5, 1,   7, 164,126,653
 8, 5, 2,  32, 253,653,126
 8, 6, 1, 106, 270,653,35
 8, 6, 2,  14, 267,35,653
 8, 7, 1,  80, 350,35,193
 8, 7, 2, 129, 396,193,35
 9, 1, 1,  40,  40,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 140,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 208,90,630
 9, 3, 2,  69, 206,630,90
 9, 4, 1,  71, 279,630,223
 9, 4, 2,  70, 276,223,630
 9, 5, 1,  72, 351,223,224
 9, 5, 2,  72, 348,224,223
 9, 6, 1,  43, 394,224,506
 9, 6, 2,  40, 388,506,224
 9, 7, 1,  33, 427,506,41
 9, 7, 2,  32, 420,41,506
 9, 8, 1,  27, 454,41,655
 9, 8, 2,  27, 447,655,41
 9, 9, 1,  44, 498,655,443
 9, 9, 2,  44, 491,443,655
 9,10, 1,  35, 533,443,73
 9,10, 2,  31, 522,73,443
 9,11, 1,  44, 577,73,72
 9,11, 2,  45, 567,72,73
 9,12, 1,  36, 613,72,194
 9,12, 2,  37, 604,194,72
 9,13, 1,  29, 642,194,282
 9,13, 2,  29, 633,282,194
 9,14, 1,  24, 666,282,2
 9,14, 2,  20, 653,2,282
 9,15, 1,  18, 684,2,203
 9,15, 2,  40, 693,203,2
 9,16, 1,  23, 707,203,3
 9,16, 2,  14, 707,3,203
10, 1, 1,  39,  39,124,410
10, 1, 2,  65,  65,410,124
10, 2, 1,  71, 110,410,189
10, 2, 2,  71, 136,189,410
10, 3, 1,   4, 114,189,738
10, 3, 2,  10, 146,738,189
10, 4, 1,  80, 194,738,372
10, 4, 2,  79, 225,372,738
10, 5, 1,  31, 225,372,42
10, 5, 2,  15, 240,42,372
10, 6, 1,  54, 279,42,172
10, 6, 2,  54, 294,172,42
10, 7, 1, 108, 387,172,370
10, 7, 2, 113, 407,370,172
11, 1, 1,  59,  59,130,5
11, 1, 2,  59,  59,5,130
11, 2, 1,  91, 150,5,151
11, 2, 2,  14,  73,151,5
11, 3, 1,  73, 223,151,127
11, 3, 2,  54, 127,127,151
11, 4, 1, 107, 330,127,149
11, 4, 2,   7, 134,149,127
11, 5, 1,  72, 402,149,432
11, 5, 2,  81, 215,432,149
12, 1, 1,   8,   8,832,9
12, 1, 2,   7,   7,9,832
12, 2, 1,  73,  81,9,178
12, 2, 2,  73,  80,178,9
12, 3, 1,  52, 133,178,148
12, 3, 2,  52, 132,148,178
13, 1, 1,  81,  81,2,3
13, 1, 2,  57,  57,3,2
13, 2, 1,  71, 152,3,513
13, 2, 2,  19,  76,513,3
13, 3, 1,  53, 205,513,354
13, 3, 2,  30, 106,354,513
13, 4, 1,  73, 278,354,355
13, 4, 2,  30, 136,355,354
13, 5, 1,  50, 328,355,439
13, 5, 2,  30, 166,439,355
13, 6, 1,  38, 366,439,145
13, 6, 2,  25, 191,145,439
13, 7, 1,  80, 446,145,143
13, 7, 2,  16, 207,143,145
13, 8, 1,  53, 499,143,144
13, 8, 2,  32, 239,144,143
14, 1, 1,  22,  22,456,110
14, 1, 2,  22,  22,110,456
14, 2, 1, 123, 145,110,109
14, 2, 2, 123, 145,109,110
14, 3, 1,  20, 165,109,331
14, 3, 2,  19, 164,331,109
14, 4, 1,  11, 176,331,586
14, 4, 2,  14, 178,586,331
14, 5, 1,  26, 202,586,107
14, 5, 2,  25, 203,107,586
14, 6, 1,  53, 255,107,701
14, 6, 2,  45, 248,701,107
14, 7, 1,  37, 292,701,108
14, 7, 2,  37, 285,108,701
14, 8, 1,  46, 338,108,73
14, 8, 2,  45, 330,73,108
14, 9, 1,  47, 385,73,72
14, 9, 2,  46, 376,72,73
14,10, 1,  26, 411,72,132
14,10, 2,  26, 402,132,72
15, 1, 1,  48,  48,49,50
15, 1, 2,  10,  10,50,49
15, 2, 1,  50,  98,50,272
15, 2, 2,  16,  26,272,50
15, 3, 1, 146, 244,272,229
15, 3, 2,  10,  36,229,272
15, 4, 1, 206, 450,229,196
15, 4, 2,  16,  52,196,229
16, 1, 1,  30,  30,197,196
16, 1, 2,  13,  13,196,197
16, 2, 1,  27,  57,196,232
16, 2, 2,  22,  35,232,196
16, 3, 1,  22,  79,232,226
16, 3, 2,  22,  57,226,232
16, 4, 1,  33, 112,226,272
16, 4, 2,  33,  90,272,226
16, 5, 1,  12, 124,272,50
16, 5, 2,  11, 101,50,272
16, 6, 1,  16, 140,50,49
16, 6, 2,  15, 116,49,50
17, 1, 1, 106, 106,229,301
17, 1, 2, 105, 105,301,229
17, 2, 1,  23, 129,301,163
17, 2, 2,  23, 128,163,301
17, 3, 1,  31, 160,163,70
17, 3, 2,  16, 144,70,163
17, 4, 1,  66, 226,70,157
17, 4, 2,  66, 210,157,70
17, 5, 1,  48, 274,157,295
17, 5, 2,  55, 265,295,157
17, 6, 1,  10, 284,295,158
17, 6, 2,   9, 274,158,295
17, 7, 1,  12, 296,158,623
17, 7, 2,  13, 287,623,158
17, 8, 1,  14, 310,623,156
17, 8, 2,  14, 301,156,623
17, 9, 1,  39, 349,156,155
17, 9, 2,  36, 337,155,156
17,10, 1,  84, 433,155,187
17,10, 2,  90, 427,187,155
17,11, 1,  32, 465,187,599
17,11, 2,  45, 472,599,187
17,12, 1,  72, 537,599,311
17,12, 2, 111, 583,311,599
18, 1, 1,  28,  28,727,797
18, 1, 2,  17,  17,797,727
18, 2, 1, 121, 149,797,456
18, 2, 2, 112, 129,456,797
18, 3, 1, 102, 251,456,110
18, 3, 2,  27, 156,110,456
18, 4, 1,  98, 349,110,109
18, 4, 2, 129, 285,109,110
18, 5, 1,  20, 369,109,331
18, 5, 2,  19, 304,331,109
18, 6, 1,  14, 383,331,586
18, 6, 2,  14, 318,586,331
18, 7, 1,  26, 409,586,107
18, 7, 2,  26, 344,107,586
18, 8, 1,  32, 441,107,701
18, 8, 2,  32, 376,701,107
18, 9, 1,  37, 478,701,108
18, 9, 2,  36, 412,108,701
18,10, 1,   7, 485,108,594
18,10, 2,  10, 422,594,108
18,11, 1,  29, 514,594,73
18,11, 2,  29, 451,73,594
18,12, 1,  62, 576,73,72
18,12, 2,  61, 512,72,73
18,13, 1,  26, 602,72,132
18,13, 2,  26, 538,132,72
18,14, 1,  25, 627,132,194
18,14, 2,  13, 551,194,132
18,15, 1,  37, 664,194,282
18,15, 2,  37, 588,282,194
18,16, 1,  40, 704,282,2
18,16, 2,  26, 614,2,282
18,17, 1,  58, 762,2,3
18,17, 2,  57, 671,3,2
18,18, 1,  21, 783,3,513
18,18, 2,  20, 691,513,3
18,19, 1,  13, 796,513,354
18,19, 2,  14, 705,354,513
18,20, 1,  18, 814,354,355
18,20, 2,  10, 715,355,354
18,21, 1,  48, 862,355,184
18,21, 2,  47, 762,184,355
19, 1, 1,  53,  53,420,190
19, 1, 2,  50,  50,190,420
19, 2, 1,  84, 137,190,761
19, 2, 2,   8,  58,761,190
19, 3, 1,  33, 170,761,152
