# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 230, 230,2127,175
 1, 1, 2,  64,  64,175,2127
 1, 2, 1, 198, 428,175,174
 1, 2, 2, 109, 173,174,175
 1, 3, 1,  67, 495,174,615
 1, 3, 2,  62, 235,615,174
 1, 4, 1,  32, 527,615,243
 1, 4, 2,  56, 291,243,615
 1, 5, 1,  31, 558,243,448
 1, 5, 2,  16, 307,448,243
 1, 6, 1,  61, 619,448,118
 1, 6, 2,  17, 324,118,448
 1, 7, 1,  16, 635,118,496
 1, 7, 2,  16, 340,496,118
 1, 8, 1,  66, 701,496,610
 1, 8, 2,   9, 349,610,496
 1, 9, 1,  62, 763,610,103
 1, 9, 2,  98, 447,103,610
 1,10, 1,   7, 770,103,614
 1,10, 2,  68, 515,614,103
 1,11, 1,  18, 788,614,613
 1,11, 2,  18, 533,613,614
 1,12, 1,  19, 807,613,104
 1,12, 2,  28, 561,104,613
 1,13, 1,  70, 877,104,758
 1,13, 2,   5, 566,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  30,  48,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 229, 277,196,26
 2, 3, 2, 498, 543,26,196
 2, 4, 1,  41, 318,26,193
 2, 4, 2, 322, 865,193,26
 2, 5, 1,  98, 416,193,37
 2, 5, 2,  46, 911,37,193
 2, 6, 1,  57, 473,37,152
 2, 6, 2,  35, 946,152,37
 2, 7, 1,  24, 497,152,760
 2, 7, 2, 337,1283,760,152
 3, 1, 1,  18,  18,269,39
 3, 1, 2, 120, 120,39,269
 3, 2, 1,  28,  46,39,116
 3, 2, 2,  30, 150,116,39
 3, 3, 1,  64, 110,116,133
 3, 3, 2,  63, 213,133,116
 4, 1, 1, 113, 113,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 150,597,470
 4, 2, 2,  42, 150,470,597
 4, 3, 1,  32, 182,470,125
 4, 3, 2,  30, 180,125,470
 4, 4, 1,  31, 213,125,667
 4, 4, 2, 429, 609,667,125
 4, 5, 1,  19, 232,667,422
 4, 5, 2,  19, 628,422,667
 4, 6, 1,  38, 270,422,151
 4, 6, 2, 142, 770,151,422
 4, 7, 1,  73, 343,151,20
 4, 7, 2, 110, 880,20,151
 4, 8, 1,   7, 350,20,741
 4, 8, 2,   8, 888,741,20
 4, 9, 1,  18, 368,741,773
 4, 9, 2,  18, 906,773,741
 4,10, 1,  80, 448,773,152
 4,10, 2,   5, 911,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  91,  91,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  46, 137,528,510
 5, 3, 1,  15, 151,528,327
 5, 3, 2,  14, 151,327,528
 5, 4, 1,  15, 166,327,458
 5, 4, 2,  15, 166,458,327
 5, 5, 1,  23, 189,458,459
 5, 5, 2,  26, 192,459,458
 5, 6, 1,  87, 276,459,405
 5, 6, 2,  87, 279,405,459
 6, 1, 1,  23,  23,405,150
 6, 1, 2, 161, 161,150,405
 6, 2, 1,  23,  46,150,148
 6, 2, 2,  66, 227,148,150
 6, 3, 1,  27,  73,148,149
 6, 3, 2,  15, 242,149,148
 6, 4, 1,  73, 146,149,44
 6, 4, 2,  96, 338,44,149
 6, 5, 1,  29, 175,44,351
 6, 5, 2,  29, 367,351,44
 6, 6, 1,  24, 199,351,36
 6, 6, 2,   7, 374,36,351
 6, 7, 1,  22, 221,36,776
 6, 7, 2, 245, 619,776,36
 6, 8, 1,   7, 228,776,37
 6, 8, 2,   7, 626,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 406, 406,691,179
 7, 2, 1,  37,  80,691,64
 7, 2, 2,  14, 420,64,691
 7, 3, 1,  22, 102,64,65
 7, 3, 2,  31, 451,65,64
 7, 4, 1,  36, 138,65,66
 7, 4, 2,  36, 487,66,65
 7, 5, 1,  19, 157,66,750
 7, 5, 2,   4, 491,750,66
 7, 6, 1,  59, 216,750,63
 7, 6, 2,  59, 550,63,750
 7, 7, 1,  30, 246,63,67
 7, 7, 2,  66, 616,67,63
 7, 8, 1,  23, 269,67,55
 7, 8, 2, 125, 741,55,67
 7, 9, 1,  23, 292,55,61
 7, 9, 2,  36, 777,61,55
 7,10, 1,  27, 319,61,59
 7,10, 2, 136, 913,59,61
 7,11, 1,  18, 337,59,76
 7,11, 2,  32, 945,76,59
 7,12, 1,  22, 359,76,141
 7,12, 2,  22, 967,141,76
 7,13, 1,  14, 373,141,166
 7,13, 2,  71,1038,166,141
 7,14, 1,  23, 396,166,182
 7,14, 2,  14,1052,182,166
 7,15, 1,  14, 410,182,403
 7,15, 2, 215,1267,403,182
 8, 1, 1,  32,  32,81,38
 8, 1, 2,  87,  87,38,81
 8, 2, 1,  58,  90,38,280
 8, 2, 2, 203, 290,280,38
 8, 3, 1,  37, 127,280,142
 8, 3, 2,  36, 326,142,280
 8, 4, 1,  15, 142,142,126
 8, 4, 2, 210, 536,126,142
 8, 5, 1,   7, 149,126,653
 8, 5, 2, 107, 643,653,126
 8, 6, 1,  33, 182,653,35
 8, 6, 2,  14, 657,35,653
 8, 7, 1,  22, 204,35,193
 8, 7, 2, 125, 782,193,35
 9, 1, 1,  39,  39,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 139,494,90
