# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 149, 149,2127,175
 1, 1, 2,  66,  66,175,2127
 1, 2, 1, 107, 256,175,174
 1, 2, 2, 132, 198,174,175
 1, 3, 1,   8, 264,174,615
 1, 3, 2,  62, 260,615,174
 1, 4, 1,  32, 296,615,243
 1, 4, 2,  16, 276,243,615
 1, 5, 1,  31, 327,243,448
 1, 5, 2,  16, 292,448,243
 1, 6, 1,  67, 394,448,118
 1, 6, 2,  17, 309,118,448
 1, 7, 1,  16, 410,118,496
 1, 7, 2,  16, 325,496,118
 1, 8, 1,  55, 465,496,610
 1, 8, 2,   9, 334,610,496
 1, 9, 1,  48, 513,610,103
 1, 9, 2, 156, 490,103,610
 1,10, 1,   7, 520,103,614
 1,10, 2, 106, 596,614,103
 1,11, 1,  18, 538,614,613
 1,11, 2,  18, 614,613,614
 1,12, 1,  11, 549,613,104
 1,12, 2,   9, 623,104,613
 1,13, 1,  18, 567,104,758
 1,13, 2,   5, 628,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  27,  45,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  85, 130,196,26
 2, 3, 2, 170, 215,26,196
 2, 4, 1, 523, 653,26,193
 2, 4, 2,  44, 259,193,26
 2, 5, 1, 472,1125,193,37
 2, 5, 2, 416, 675,37,193
 2, 6, 1,  19,1144,37,152
 2, 6, 2, 249, 924,152,37
 2, 7, 1, 231,1375,152,760
 2, 7, 2, 216,1140,760,152
 3, 1, 1,  40,  40,269,39
 3, 1, 2, 108, 108,39,269
 3, 2, 1,  28,  68,39,116
 3, 2, 2,  29, 137,116,39
 3, 3, 1,  64, 132,116,133
 3, 3, 2,  63, 200,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  43, 151,470,597
 4, 3, 1,  29, 175,470,125
 4, 3, 2,  18, 169,125,470
 4, 4, 1,  30, 205,125,667
 4, 4, 2, 431, 600,667,125
 4, 5, 1,  19, 224,667,422
 4, 5, 2,  19, 619,422,667
 4, 6, 1, 139, 363,422,151
 4, 6, 2,  67, 686,151,422
 4, 7, 1,  72, 435,151,20
 4, 7, 2,  84, 770,20,151
 4, 8, 1,   7, 442,20,741
 4, 8, 2,   7, 777,741,20
 4, 9, 1,  18, 460,741,773
 4, 9, 2,  18, 795,773,741
 4,10, 1,  80, 540,773,152
 4,10, 2,   5, 800,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  47, 137,528,510
 5, 3, 1,  16, 152,528,327
 5, 3, 2,  14, 151,327,528
 5, 4, 1,  15, 167,327,458
 5, 4, 2,  15, 166,458,327
 5, 5, 1,  26, 193,458,459
 5, 5, 2,  49, 215,459,458
 5, 6, 1,  87, 280,459,405
 5, 6, 2,  88, 303,405,459
 6, 1, 1,  26,  26,405,150
 6, 1, 2,  36,  36,150,405
 6, 2, 1,  22,  48,150,148
 6, 2, 2,  74, 110,148,150
 6, 3, 1,  37,  85,148,149
 6, 3, 2,  14, 124,149,148
 6, 4, 1,  73, 158,149,44
 6, 4, 2,  87, 211,44,149
 6, 5, 1,  29, 187,44,351
 6, 5, 2,  29, 240,351,44
 6, 6, 1,  88, 275,351,36
 6, 6, 2,   7, 247,36,351
 6, 7, 1,  22, 297,36,776
 6, 7, 2, 323, 570,776,36
 6, 8, 1,   7, 304,776,37
 6, 8, 2,   7, 577,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2,  84,  84,691,179
 7, 2, 1,  30,  73,691,64
 7, 2, 2,  14,  98,64,691
 7, 3, 1,  22,  95,64,65
 7, 3, 2,  26, 124,65,64
 7, 4, 1,  36, 131,65,66
 7, 4, 2,  36, 160,66,65
 7, 5, 1,  12, 143,66,750
 7, 5, 2,   4, 164,750,66
 7, 6, 1,  59, 202,750,63
 7, 6, 2,  59, 223,63,750
 7, 7, 1,  37, 239,63,67
 7, 7, 2, 127, 350,67,63
 7, 8, 1,  23, 262,67,55
 7, 8, 2,  29, 379,55,67
 7, 9, 1,  23, 285,55,61
 7, 9, 2, 117, 496,61,55
 7,10, 1,  20, 305,61,59
 7,10, 2,  87, 583,59,61
 7,11, 1,  18, 323,59,76
 7,11, 2,  82, 665,76,59
 7,12, 1,  22, 345,76,141
 7,12, 2,  22, 687,141,76
 7,13, 1,  14, 359,141,166
 7,13, 2,  65, 752,166,141
 7,14, 1,  24, 383,166,182
 7,14, 2,  14, 766,182,166
 7,15, 1,  14, 397,182,403
 7,15, 2,  23, 789,403,182
 8, 1, 1,  30,  30,81,38
 8, 1, 2,  48,  48,38,81
 8, 2, 1,  58,  88,38,280
 8, 2, 2,  81, 129,280,38
 8, 3, 1,  37, 125,280,142
 8, 3, 2,  36, 165,142,280
 8, 4, 1,  15, 140,142,126
 8, 4, 2, 199, 364,126,142
 8, 5, 1,   7, 147,126,653
 8, 5, 2, 107, 471,653,126
 8, 6, 1, 202, 349,653,35
 8, 6, 2,  14, 485,35,653
 8, 7, 1, 213, 562,35,193
 8, 7, 2,  73, 558,193,35
 9, 1, 1,  39,  39,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 139,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 207,90,630
 9, 3, 2,  69, 206,630,90
 9, 4, 1,  71, 278,630,223
 9, 4, 2,  70, 276,223,630
 9, 5, 1,  72, 350,223,224
 9, 5, 2,  72, 348,224,223
 9, 6, 1,  41, 391,224,506
 9, 6, 2,  40, 388,506,224
 9, 7, 1,  33, 424,506,41
 9, 7, 2,  32, 420,41,506
 9, 8, 1,  32, 456,41,655
 9, 8, 2,  29, 449,655,41
 9, 9, 1,  43, 499,655,443
 9, 9, 2,  44, 493,443,655
 9,10, 1,  32, 531,443,73
 9,10, 2,  31, 524,73,443
 9,11, 1,  42, 573,73,72
 9,11, 2,  57, 581,72,73
 9,12, 1,  32, 605,72,194
 9,12, 2,  45, 626,194,72
 9,13, 1,  29, 634,194,282
 9,13, 2,  29, 655,282,194
 9,14, 1,  31, 665,282,2
 9,14, 2,  20, 675,2,282
 9,15, 1,  18, 683,2,203
 9,15, 2,  35, 710,203,2
 9,16, 1,  20, 703,203,3
 9,16, 2,  14, 724,3,203
10, 1, 1,  66,  66,124,410
10, 1, 2,  39,  39,410,124
10, 2, 1,  73, 139,410,189
10, 2, 2,  70, 109,189,410
10, 3, 1,   4, 143,189,738
10, 3, 2,  38, 147,738,189
10, 4, 1,  84, 227,738,372
10, 4, 2,  79, 226,372,738
10, 5, 1,  28, 255,372,42
10, 5, 2,  15, 241,42,372
10, 6, 1,  55, 310,42,172
10, 6, 2,  59, 300,172,42
10, 7, 1, 108, 418,172,370
10, 7, 2, 116, 416,370,172
11, 1, 1,  59,  59,130,5
11, 1, 2,  80,  80,5,130
11, 2, 1, 112, 171,5,151
11, 2, 2,  14,  94,151,5
11, 3, 1,  59, 230,151,127
11, 3, 2,  54, 148,127,151
11, 4, 1,  19, 249,127,149
11, 4, 2,   7, 155,149,127
11, 5, 1,  72, 321,149,432
11, 5, 2,  91, 246,432,149
12, 1, 1,  25,  25,832,9
12, 1, 2,   7,   7,9,832
12, 2, 1,  73,  98,9,178
12, 2, 2,  73,  80,178,9
12, 3, 1,  52, 150,178,148
12, 3, 2,  53, 133,148,178
13, 1, 1,  79,  79,2,3
13, 1, 2,  57,  57,3,2
13, 2, 1, 285, 364,3,513
13, 2, 2,  19,  76,513,3
13, 3, 1,  83, 447,513,354
13, 3, 2,  30, 106,354,513
13, 4, 1, 186, 633,354,355
