# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 158, 158,2127,175
 1, 1, 2,  81,  81,175,2127
 1, 2, 1, 108, 266,175,174
 1, 2, 2, 144, 225,174,175
 1, 3, 1,   8, 274,174,615
 1, 3, 2,  62, 287,615,174
 1, 4, 1,  32, 306,615,243
 1, 4, 2,  16, 303,243,615
 1, 5, 1,  31, 337,243,448
 1, 5, 2,  16, 319,448,243
 1, 6, 1,  74, 411,448,118
 1, 6, 2,  17, 336,118,448
 1, 7, 1,  16, 427,118,496
 1, 7, 2,  16, 352,496,118
 1, 8, 1, 128, 555,496,610
 1, 8, 2,   9, 361,610,496
 1, 9, 1,  55, 610,610,103
 1, 9, 2, 129, 490,103,610
 1,10, 1,   7, 617,103,614
 1,10, 2,  73, 563,614,103
 1,11, 1,  18, 635,614,613
 1,11, 2,  18, 581,613,614
 1,12, 1,  14, 649,613,104
 1,12, 2,   9, 590,104,613
 1,13, 1,  21, 670,104,758
 1,13, 2,   5, 595,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  30,  48,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  37,  85,196,26
 2, 3, 2, 263, 308,26,196
 2, 4, 1,  48, 133,26,193
 2, 4, 2,  65, 373,193,26
 2, 5, 1, 472, 605,193,37
 2, 5, 2, 205, 578,37,193
 2, 6, 1,  19, 624,37,152
 2, 6, 2,  70, 648,152,37
 2, 7, 1,  33, 657,152,760
 2, 7, 2, 314, 962,760,152
 3, 1, 1, 170, 170,269,39
 3, 1, 2,  87,  87,39,269
 3, 2, 1,  28, 198,39,116
 3, 2, 2,  30, 117,116,39
 3, 3, 1,  64, 262,116,133
 3, 3, 2,  63, 180,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  39, 147,470,597
 4, 3, 1,  40, 186,470,125
 4, 3, 2,  18, 165,125,470
 4, 4, 1,  30, 216,125,667
 4, 4, 2,  93, 258,667,125
 4, 5, 1,  30, 246,667,422
 4, 5, 2,  19, 277,422,667
 4, 6, 1,  40, 286,422,151
 4, 6, 2,  76, 353,151,422
 4, 7, 1,  72, 358,151,20
 4, 7, 2,  75, 428,20,151
 4, 8, 1,   7, 365,20,741
 4, 8, 2,   7, 435,741,20
 4, 9, 1,  18, 383,741,773
 4, 9, 2,  18, 453,773,741
 4,10, 1,  78, 461,773,152
 4,10, 2,   5, 458,152,773
 5, 1, 1, 105, 105,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 150,510,528
 5, 2, 2,  51, 141,528,510
 5, 3, 1,  17, 167,528,327
 5, 3, 2,  14, 155,327,528
 5, 4, 1,  23, 190,327,458
 5, 4, 2,  15, 170,458,327
 5, 5, 1,  37, 227,458,459
 5, 5, 2, 111, 281,459,458
 5, 6, 1,  87, 314,459,405
 5, 6, 2,  89, 370,405,459
 6, 1, 1,  35,  35,405,150
 6, 1, 2, 323, 323,150,405
 6, 2, 1,  23,  58,150,148
 6, 2, 2,  66, 389,148,150
 6, 3, 1,  44, 102,148,149
 6, 3, 2,  69, 458,149,148
 6, 4, 1,  73, 175,149,44
 6, 4, 2,  92, 550,44,149
 6, 5, 1,  29, 204,44,351
 6, 5, 2,  29, 579,351,44
 6, 6, 1,   8, 212,351,36
 6, 6, 2,   7, 586,36,351
 6, 7, 1,  22, 234,36,776
 6, 7, 2,  70, 656,776,36
 6, 8, 1,   7, 241,776,37
 6, 8, 2,   7, 663,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 274, 274,691,179
 7, 2, 1,  24,  67,691,64
 7, 2, 2,  14, 288,64,691
 7, 3, 1,  22,  89,64,65
 7, 3, 2,  36, 324,65,64
 7, 4, 1,  36, 125,65,66
 7, 4, 2,  36, 360,66,65
 7, 5, 1,  28, 153,66,750
 7, 5, 2,   4, 364,750,66
 7, 6, 1,  59, 212,750,63
 7, 6, 2,  59, 423,63,750
 7, 7, 1,  33, 245,63,67
 7, 7, 2,  52, 475,67,63
 7, 8, 1,  23, 268,67,55
 7, 8, 2,  33, 508,55,67
 7, 9, 1,  29, 297,55,61
 7, 9, 2,  38, 546,61,55
 7,10, 1,  22, 319,61,59
 7,10, 2,  95, 641,59,61
 7,11, 1,  18, 337,59,76
 7,11, 2,  78, 719,76,59
 7,12, 1,  29, 366,76,141
 7,12, 2,  22, 741,141,76
 7,13, 1,  14, 380,141,166
 7,13, 2,  46, 787,166,141
 7,14, 1,  54, 434,166,182
 7,14, 2,  14, 801,182,166
 7,15, 1,  14, 448,182,403
 7,15, 2,  22, 823,403,182
 8, 1, 1,  74,  74,81,38
 8, 1, 2,  56,  56,38,81
 8, 2, 1,  58, 132,38,280
 8, 2, 2, 141, 197,280,38
 8, 3, 1,  37, 169,280,142
 8, 3, 2,  36, 233,142,280
 8, 4, 1,  15, 184,142,126
