# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 204, 204,2127,175
 1, 1, 2,  63,  63,175,2127
 1, 2, 1, 132, 336,175,174
 1, 2, 2,  81, 144,174,175
 1, 3, 1, 125, 461,174,615
 1, 3, 2,  61, 205,615,174
 1, 4, 1,  32, 493,615,243
 1, 4, 2,  40, 245,243,615
 1, 5, 1,  31, 524,243,448
 1, 5, 2,  16, 261,448,243
 1, 6, 1, 110, 634,448,118
 1, 6, 2,  17, 278,118,448
 1, 7, 1,  16, 650,118,496
 1, 7, 2,  16, 294,496,118
 1, 8, 1, 130, 780,496,610
 1, 8, 2,   9, 303,610,496
 1, 9, 1,  75, 855,610,103
 1, 9, 2,  48, 351,103,610
 1,10, 1,   7, 862,103,614
 1,10, 2,  29, 380,614,103
 1,11, 1,  18, 880,614,613
 1,11, 2,  18, 398,613,614
 1,12, 1,  13, 893,613,104
 1,12, 2,  40, 438,104,613
 1,13, 1,  76, 969,104,758
 1,13, 2,   5, 443,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  67,  85,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 229, 314,196,26
 2, 3, 2,  98, 143,26,196
 2, 4, 1,  85, 399,26,193
 2, 4, 2, 219, 362,193,26
 2, 5, 1, 350, 749,193,37
 2, 5, 2,  47, 409,37,193
 2, 6, 1,  50, 799,37,152
 2, 6, 2,  72, 481,152,37
 2, 7, 1,  41, 840,152,760
 2, 7, 2, 241, 722,760,152
 3, 1, 1,  43,  43,269,39
 3, 1, 2,  50,  50,39,269
 3, 2, 1,  28,  71,39,116
 3, 2, 2,  32,  82,116,39
 3, 3, 1,  67, 138,116,133
 3, 3, 2,  63, 145,133,116
 4, 1, 1, 111, 111,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  96, 207,597,470
 4, 2, 2,  77, 185,470,597
 4, 3, 1,  45, 252,470,125
 4, 3, 2,  27, 212,125,470
 4, 4, 1,  60, 312,125,667
 4, 4, 2,  98, 310,667,125
 4, 5, 1,  35, 347,667,422
 4, 5, 2,  24, 334,422,667
 4, 6, 1,  47, 394,422,151
 4, 6, 2, 166, 500,151,422
 4, 7, 1,  73, 467,151,20
 4, 7, 2, 103, 603,20,151
 4, 8, 1,   7, 474,20,741
 4, 8, 2,   8, 611,741,20
 4, 9, 1,  18, 492,741,773
 4, 9, 2,  18, 629,773,741
 4,10, 1,  80, 572,773,152
 4,10, 2,   5, 634,152,773
 5, 1, 1, 227, 227,4012,510
 5, 1, 2, 101, 101,510,4012
 5, 2, 1,  45, 272,510,528
 5, 2, 2,  48, 149,528,510
 5, 3, 1,  29, 301,528,327
 5, 3, 2,  14, 163,327,528
 5, 4, 1,  29, 330,327,458
 5, 4, 2,  17, 180,458,327
 5, 5, 1,  29, 359,458,459
 5, 5, 2,  41, 221,459,458
 5, 6, 1,  90, 449,459,405
 5, 6, 2,  87, 308,405,459
 6, 1, 1,  36,  36,405,150
 6, 1, 2, 283, 283,150,405
 6, 2, 1,  23,  59,150,148
 6, 2, 2, 169, 452,148,150
 6, 3, 1,  43, 102,148,149
 6, 3, 2,  15, 467,149,148
 6, 4, 1,  89, 191,149,44
 6, 4, 2, 145, 612,44,149
 6, 5, 1,  29, 220,44,351
 6, 5, 2,  29, 641,351,44
 6, 6, 1,  94, 314,351,36
 6, 6, 2,   7, 648,36,351
 6, 7, 1,  22, 336,36,776
 6, 7, 2, 316, 964,776,36
 6, 8, 1,   7, 343,776,37
 6, 8, 2,   7, 971,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 299, 299,691,179
 7, 2, 1, 111, 154,691,64
 7, 2, 2,  14, 313,64,691
 7, 3, 1,  22, 176,64,65
 7, 3, 2,  28, 341,65,64
 7, 4, 1,  36, 212,65,66
 7, 4, 2,  36, 377,66,65
 7, 5, 1,  53, 265,66,750
 7, 5, 2,   4, 381,750,66
 7, 6, 1,  62, 327,750,63
 7, 6, 2,  59, 440,63,750
 7, 7, 1,  47, 374,63,67
 7, 7, 2,  49, 489,67,63
 7, 8, 1,  63, 437,67,55
 7, 8, 2, 179, 668,55,67
 7, 9, 1,  82, 519,55,61
 7, 9, 2,  55, 723,61,55
 7,10, 1, 102, 621,61,59
 7,10, 2,  87, 810,59,61
 7,11, 1,  18, 639,59,76
 7,11, 2,  31, 841,76,59
 7,12, 1,  66, 705,76,141
 7,12, 2,  22, 863,141,76
 7,13, 1,  14, 719,141,166
 7,13, 2, 187,1050,166,141
 7,14, 1,  33, 752,166,182
 7,14, 2,  14,1064,182,166
 7,15, 1,  14, 766,182,403
 7,15, 2,  66,1130,403,182
 8, 1, 1,  49,  49,81,38
 8, 1, 2,  43,  43,38,81
 8, 2, 1,  58, 107,38,280
 8, 2, 2,  81, 124,280,38
 8, 3, 1,  45, 152,280,142
 8, 3, 2,  36, 160,142,280
 8, 4, 1,  29, 181,142,126
 8, 4, 2,  87, 247,126,142
 8, 5, 1,   7, 188,126,653
 8, 5, 2,  86, 333,653,126
 8, 6, 1, 195, 383,653,35
 8, 6, 2,  14, 347,35,653
 8, 7, 1,  88, 471,35,193
 8, 7, 2, 171, 518,193,35
 9, 1, 1,  41,  41,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 101, 142,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 210,90,630
 9, 3, 2,  70, 207,630,90
 9, 4, 1,  72, 282,630,223
 9, 4, 2,  70, 277,223,630
 9, 5, 1,  72, 354,223,224
 9, 5, 2,  72, 349,224,223
 9, 6, 1,  42, 396,224,506
 9, 6, 2,  40, 389,506,224
 9, 7, 1,  34, 430,506,41
 9, 7, 2,  32, 421,41,506
 9, 8, 1,  28, 458,41,655
 9, 8, 2,  27, 448,655,41
 9, 9, 1,  44, 502,655,443
 9, 9, 2,  46, 494,443,655
 9,10, 1,  37, 539,443,73
 9,10, 2,  31, 525,73,443
 9,11, 1,  45, 584,73,72
 9,11, 2,  48, 573,72,73
 9,12, 1,  44, 628,72,194
 9,12, 2,  47, 620,194,72
 9,13, 1,  29, 657,194,282
 9,13, 2,  29, 649,282,194
 9,14, 1,  27, 684,282,2
 9,14, 2,  20, 669,2,282
