# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 161, 161,2127,175
 1, 1, 2,  63,  63,175,2127
 1, 2, 1, 108, 269,175,174
 1, 2, 2,  83, 146,174,175
 1, 3, 1,  28, 297,174,615
 1, 3, 2,  38, 184,615,174
 1, 4, 1,  32, 329,615,243
 1, 4, 2,  61, 245,243,615
 1, 5, 1,  31, 360,243,448
 1, 5, 2,  16, 261,448,243
 1, 6, 1,  78, 438,448,118
 1, 6, 2,  17, 278,118,448
 1, 7, 1,  16, 454,118,496
 1, 7, 2,  16, 294,496,118
 1, 8, 1,  52, 506,496,610
 1, 8, 2,   9, 303,610,496
 1, 9, 1,  29, 535,610,103
 1, 9, 2, 133, 436,103,610
 1,10, 1,   7, 542,103,614
 1,10, 2,  47, 483,614,103
 1,11, 1,  18, 560,614,613
 1,11, 2,  18, 501,613,614
 1,12, 1,  17, 577,613,104
 1,12, 2,  41, 542,104,613
 1,13, 1,  26, 603,104,758
 1,13, 2,   5, 547,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  98, 116,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 299, 415,196,26
 2, 3, 2,  45,  90,26,196
 2, 4, 1, 157, 572,26,193
 2, 4, 2, 132, 222,193,26
 2, 5, 1, 392, 964,193,37
 2, 5, 2, 304, 526,37,193
 2, 6, 1,  34, 998,37,152
 2, 6, 2,  73, 599,152,37
 2, 7, 1,  24,1022,152,760
 2, 7, 2, 297, 896,760,152
 3, 1, 1,  17,  17,269,39
 3, 1, 2,  56,  56,39,269
 3, 2, 1,  28,  45,39,116
 3, 2, 2,  29,  85,116,39
 3, 3, 1,  64, 109,116,133
 3, 3, 2,  63, 148,133,116
 4, 1, 1, 123, 123,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  41, 164,597,470
 4, 2, 2,  75, 183,470,597
 4, 3, 1,  36, 200,470,125
 4, 3, 2,  22, 205,125,470
 4, 4, 1,  45, 245,125,667
 4, 4, 2, 431, 636,667,125
 4, 5, 1,  20, 265,667,422
