# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 135, 135,2127,175
 1, 1, 2,  62,  62,175,2127
 1, 2, 1, 107, 242,175,174
 1, 2, 2,  83, 145,174,175
 1, 3, 1,   8, 250,174,615
 1, 3, 2,  23, 168,615,174
 1, 4, 1,  32, 282,615,243
 1, 4, 2,  16, 184,243,615
 1, 5, 1,  31, 313,243,448
 1, 5, 2,  16, 200,448,243
 1, 6, 1,  63, 376,448,118
 1, 6, 2,  17, 217,118,448
 1, 7, 1,  16, 392,118,496
 1, 7, 2,  16, 233,496,118
 1, 8, 1,  38, 430,496,610
 1, 8, 2,   9, 242,610,496
 1, 9, 1,  28, 458,610,103
 1, 9, 2,  26, 268,103,610
 1,10, 1,   7, 465,103,614
 1,10, 2,  22, 290,614,103
 1,11, 1,  18, 483,614,613
 1,11, 2,  18, 308,613,614
 1,12, 1,  20, 503,613,104
 1,12, 2,   9, 317,104,613
 1,13, 1,  76, 579,104,758
 1,13, 2,   5, 322,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  27,  45,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 242, 287,196,26
 2, 3, 2,  42,  87,26,196
 2, 4, 1,  37, 324,26,193
 2, 4, 2,  82, 169,193,26
 2, 5, 1, 399, 723,193,37
 2, 5, 2,  39, 208,37,193
 2, 6, 1,  26, 749,37,152
 2, 6, 2,  30, 238,152,37
 2, 7, 1,  24, 773,152,760
 2, 7, 2, 105, 343,760,152
 3, 1, 1,  17,  17,269,39
 3, 1, 2,  20,  20,39,269
 3, 2, 1,  28,  45,39,116
 3, 2, 2,  30,  50,116,39
 3, 3, 1,  64, 109,116,133
 3, 3, 2,  63, 113,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  39, 147,470,597
 4, 3, 1,  20, 166,470,125
 4, 3, 2,  18, 165,125,470
 4, 4, 1,  30, 196,125,667
 4, 4, 2, 369, 534,667,125
 4, 5, 1,  19, 215,667,422
 4, 5, 2,  72, 606,422,667
 4, 6, 1,  43, 258,422,151
 4, 6, 2, 136, 742,151,422
 4, 7, 1,  72, 330,151,20
 4, 7, 2,  83, 825,20,151
 4, 8, 1,   7, 337,20,741
 4, 8, 2,   7, 832,741,20
 4, 9, 1,  18, 355,741,773
 4, 9, 2,  18, 850,773,741
 4,10, 1,  38, 393,773,152
 4,10, 2,   5, 855,152,773
 5, 1, 1, 107, 107,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 152,510,528
 5, 2, 2,  46, 136,528,510
 5, 3, 1,  15, 167,528,327
 5, 3, 2,  14, 150,327,528
 5, 4, 1,  15, 182,327,458
 5, 4, 2,  15, 165,458,327
 5, 5, 1,  23, 205,458,459
 5, 5, 2,  30, 195,459,458
 5, 6, 1,  87, 292,459,405
 5, 6, 2,  87, 282,405,459
 6, 1, 1,  23,  23,405,150
 6, 1, 2, 104, 104,150,405
 6, 2, 1,  22,  45,150,148
 6, 2, 2,  53, 157,148,150
 6, 3, 1,  19,  64,148,149
 6, 3, 2,  14, 171,149,148
 6, 4, 1,  73, 137,149,44
