# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 305, 305,2127,175
 1, 1, 2,  64,  64,175,2127
 1, 2, 1,1007,1312,175,174
 1, 2, 2, 177, 241,174,175
 1, 3, 1,   8,1320,174,615
 1, 3, 2,  62, 303,615,174
 1, 4, 1,  32,1352,615,243
 1, 4, 2,  16, 319,243,615
 1, 5, 1,  31,1383,243,448
 1, 5, 2,  16, 335,448,243
 1, 6, 1, 270,1653,448,118
 1, 6, 2,  17, 352,118,448
 1, 7, 1,  16,1669,118,496
 1, 7, 2,  16, 368,496,118
 1, 8, 1, 130,1799,496,610
 1, 8, 2,   9, 377,610,496
 1, 9, 1,  72,1871,610,103
 1, 9, 2,  35, 412,103,610
 1,10, 1,   7,1878,103,614
 1,10, 2,  51, 463,614,103
 1,11, 1,  18,1896,614,613
 1,11, 2,  18, 481,613,614
 1,12, 1,  28,1924,613,104
 1,12, 2,   9, 490,104,613
 1,13, 1,  57,1981,104,758
 1,13, 2,   5, 495,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1, 146, 164,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  75, 239,196,26
 2, 3, 2, 348, 393,26,196
 2, 4, 1,  72, 311,26,193
 2, 4, 2, 176, 569,193,26
 2, 5, 1, 472, 783,193,37
 2, 5, 2,  44, 613,37,193
 2, 6, 1, 106, 889,37,152
 2, 6, 2,  39, 652,152,37
 2, 7, 1,  33, 922,152,760
 2, 7, 2, 336, 988,760,152
 3, 1, 1,  37,  37,269,39
 3, 1, 2,  36,  36,39,269
 3, 2, 1,  28,  65,39,116
 3, 2, 2,  30,  66,116,39
 3, 3, 1,  73, 138,116,133
 3, 3, 2,  63, 129,133,116
 4, 1, 1, 121, 121,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1, 113, 234,597,470
 4, 2, 2,  97, 205,470,597
 4, 3, 1,  52, 286,470,125
 4, 3, 2,  21, 226,125,470
 4, 4, 1,  69, 355,125,667
 4, 4, 2, 293, 519,667,125
 4, 5, 1,  34, 389,667,422
 4, 5, 2,  20, 539,422,667
 4, 6, 1,  56, 445,422,151
 4, 6, 2, 117, 656,151,422
 4, 7, 1,  82, 527,151,20
 4, 7, 2, 169, 825,20,151
 4, 8, 1,   7, 534,20,741
 4, 8, 2,  78, 903,741,20
 4, 9, 1,  18, 552,741,773
 4, 9, 2,  18, 921,773,741
 4,10, 1,  80, 632,773,152
 4,10, 2,   5, 926,152,773
 5, 1, 1, 311, 311,4012,510
 5, 1, 2, 135, 135,510,4012
 5, 2, 1,  45, 356,510,528
 5, 2, 2,  46, 181,528,510
 5, 3, 1,  60, 416,528,327
 5, 3, 2,  14, 195,327,528
 5, 4, 1,  35, 451,327,458
 5, 4, 2, 129, 324,458,327
 5, 5, 1,  29, 480,458,459
 5, 5, 2,  54, 378,459,458
 5, 6, 1,  89, 569,459,405
 5, 6, 2,  87, 465,405,459
 6, 1, 1,  38,  38,405,150
 6, 1, 2, 323, 323,150,405
 6, 2, 1,  23,  61,150,148
 6, 2, 2,  66, 389,148,150
 6, 3, 1,  47, 108,148,149
 6, 3, 2,  27, 416,149,148
 6, 4, 1,  77, 185,149,44
 6, 4, 2,  95, 511,44,149
 6, 5, 1,  29, 214,44,351
 6, 5, 2,  29, 540,351,44
 6, 6, 1, 107, 321,351,36
 6, 6, 2,   7, 547,36,351
 6, 7, 1,  22, 343,36,776
 6, 7, 2,  88, 635,776,36
 6, 8, 1,   7, 350,776,37
 6, 8, 2,   7, 642,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 362, 362,691,179
 7, 2, 1, 126, 169,691,64
 7, 2, 2,  14, 376,64,691
 7, 3, 1,  22, 191,64,65
 7, 3, 2,  26, 402,65,64
 7, 4, 1,  36, 227,65,66
 7, 4, 2,  36, 438,66,65
 7, 5, 1,  53, 280,66,750
 7, 5, 2,   4, 442,750,66
 7, 6, 1,  67, 347,750,63
 7, 6, 2,  58, 500,63,750
 7, 7, 1,  94, 441,63,67
 7, 7, 2,  40, 540,67,63
 7, 8, 1, 217, 658,67,55
 7, 8, 2, 323, 863,55,67
 7, 9, 1,  44, 702,55,61
 7, 9, 2,  39, 902,61,55
 7,10, 1,  91, 793,61,59
 7,10, 2, 118,1020,59,61
 7,11, 1,  18, 811,59,76
 7,11, 2,  32,1052,76,59
 7,12, 1,  22, 833,76,141
 7,12, 2,  22,1074,141,76
 7,13, 1,  14, 847,141,166
 7,13, 2, 215,1289,166,141
 7,14, 1,  33, 880,166,182
 7,14, 2,  14,1303,182,166
 7,15, 1,  14, 894,182,403
 7,15, 2, 215,1518,403,182
 8, 1, 1, 181, 181,81,38
 8, 1, 2, 123, 123,38,81
 8, 2, 1,  58, 239,38,280
 8, 2, 2,  83, 206,280,38
 8, 3, 1, 109, 348,280,142
 8, 3, 2,  36, 242,142,280
 8, 4, 1,  29, 377,142,126
 8, 4, 2, 215, 457,126,142
 8, 5, 1,   7, 384,126,653
 8, 5, 2,  97, 554,653,126
 8, 6, 1, 173, 557,653,35
 8, 6, 2,  14, 568,35,653
 8, 7, 1,  71, 628,35,193
 8, 7, 2, 168, 736,193,35
 9, 1, 1,  40,  40,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 140,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 208,90,630
 9, 3, 2,  71, 208,630,90
 9, 4, 1,  72, 280,630,223
 9, 4, 2,  70, 278,223,630
 9, 5, 1,  72, 352,223,224
 9, 5, 2,  72, 350,224,223
 9, 6, 1,  43, 395,224,506
 9, 6, 2,  40, 390,506,224
 9, 7, 1, 100, 495,506,41
 9, 7, 2,  32, 422,41,506
 9, 8, 1,  30, 525,41,655
 9, 8, 2,  28, 450,655,41
 9, 9, 1,  44, 569,655,443
 9, 9, 2, 101, 551,443,655
 9,10, 1,  36, 605,443,73
 9,10, 2,  31, 582,73,443
 9,11, 1,  54, 659,73,72
 9,11, 2,  44, 626,72,73
 9,12, 1, 119, 778,72,194
 9,12, 2, 119, 745,194,72
 9,13, 1,  29, 807,194,282
 9,13, 2,  29, 774,282,194
 9,14, 1,  25, 832,282,2
 9,14, 2,  20, 794,2,282
 9,15, 1,  18, 850,2,203
 9,15, 2, 201, 995,203,2
 9,16, 1,  41, 891,203,3
 9,16, 2,  14,1009,3,203
10, 1, 1,  39,  39,124,410
10, 1, 2,  62,  62,410,124
10, 2, 1,  74, 113,410,189
10, 2, 2,  72, 134,189,410
10, 3, 1,   4, 117,189,738
10, 3, 2,  40, 174,738,189
10, 4, 1,  81, 198,738,372
10, 4, 2,  79, 253,372,738
10, 5, 1,  48, 246,372,42
10, 5, 2,  16, 269,42,372
10, 6, 1, 144, 390,42,172
10, 6, 2,  59, 328,172,42
10, 7, 1, 108, 498,172,370
10, 7, 2, 673,1001,370,172
11, 1, 1,  59,  59,130,5
11, 1, 2, 318, 318,5,130
11, 2, 1,  61, 120,5,151
11, 2, 2,  14, 332,151,5
11, 3, 1,  84, 204,151,127
11, 3, 2,  54, 386,127,151
11, 4, 1, 107, 311,127,149
11, 4, 2,   7, 393,149,127
11, 5, 1,  72, 383,149,432
11, 5, 2,  78, 471,432,149
12, 1, 1,   7,   7,832,9
12, 1, 2,   7,   7,9,832
12, 2, 1,  73,  80,9,178
12, 2, 2,  73,  80,178,9
12, 3, 1,  52, 132,178,148
12, 3, 2,  52, 132,148,178
13, 1, 1, 741, 741,2,3
13, 1, 2,  57,  57,3,2
13, 2, 1,  44, 785,3,513
13, 2, 2,  19,  76,513,3
13, 3, 1, 449,1234,513,354
13, 3, 2,  30, 106,354,513
13, 4, 1, 384,1618,354,355
13, 4, 2,  30, 136,355,354
13, 5, 1,  67,1685,355,439
13, 5, 2,  30, 166,439,355
13, 6, 1, 108,1793,439,145
13, 6, 2,  25, 191,145,439
13, 7, 1, 242,2035,145,143
13, 7, 2,  16, 207,143,145
13, 8, 1, 417,2452,143,144
13, 8, 2,  32, 239,144,143
14, 1, 1,  22,  22,456,110
14, 1, 2,  22,  22,110,456
14, 2, 1, 123, 145,110,109
14, 2, 2, 123, 145,109,110
14, 3, 1,  33, 178,109,331
14, 3, 2,  19, 164,331,109
14, 4, 1,  11, 189,331,586
14, 4, 2,  14, 178,586,331
14, 5, 1,  40, 229,586,107
14, 5, 2,  25, 203,107,586
14, 6, 1, 116, 345,107,701
14, 6, 2,  42, 245,701,107
14, 7, 1,  47, 392,701,108
14, 7, 2,  36, 281,108,701
14, 8, 1,  46, 438,108,73
14, 8, 2,  45, 326,73,108
14, 9, 1,  98, 536,73,72
14, 9, 2,  46, 372,72,73
14,10, 1,  30, 566,72,132
14,10, 2,  25, 397,132,72
15, 1, 1,  42,  42,49,50
15, 1, 2,  10,  10,50,49
15, 2, 1,  38,  80,50,272
15, 2, 2,  16,  26,272,50
15, 3, 1,  43, 123,272,229
15, 3, 2,  10,  36,229,272
15, 4, 1,  51, 174,229,196
15, 4, 2,  16,  52,196,229
16, 1, 1,  65,  65,197,196
16, 1, 2,  13,  13,196,197
