# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 160, 160,2127,175
 1, 1, 2,  62,  62,175,2127
 1, 2, 1, 107, 267,175,174
 1, 2, 2,  93, 155,174,175
 1, 3, 1,  77, 344,174,615
 1, 3, 2,  61, 216,615,174
 1, 4, 1,  32, 376,615,243
 1, 4, 2,  41, 257,243,615
 1, 5, 1,  31, 407,243,448
 1, 5, 2,  16, 273,448,243
 1, 6, 1, 107, 514,448,118
 1, 6, 2,  17, 290,118,448
 1, 7, 1,  16, 530,118,496
 1, 7, 2,  16, 306,496,118
 1, 8, 1, 119, 649,496,610
 1, 8, 2,   9, 315,610,496
 1, 9, 1,  51, 700,610,103
 1, 9, 2,  35, 350,103,610
 1,10, 1,   7, 707,103,614
 1,10, 2,  30, 380,614,103
 1,11, 1,  18, 725,614,613
 1,11, 2,  18, 398,613,614
 1,12, 1,  17, 742,613,104
 1,12, 2,  35, 433,104,613
 1,13, 1,  58, 800,104,758
 1,13, 2,   5, 438,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1, 254, 272,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 178, 450,196,26
 2, 3, 2,  71, 116,26,196
 2, 4, 1,  44, 494,26,193
 2, 4, 2,  66, 182,193,26
 2, 5, 1,  44, 538,193,37
 2, 5, 2,  42, 224,37,193
 2, 6, 1,  21, 559,37,152
 2, 6, 2,  59, 283,152,37
 2, 7, 1,  26, 585,152,760
 2, 7, 2, 208, 491,760,152
 3, 1, 1,  18,  18,269,39
 3, 1, 2,  55,  55,39,269
 3, 2, 1,  28,  46,39,116
 3, 2, 2,  30,  85,116,39
 3, 3, 1,  64, 110,116,133
 3, 3, 2,  63, 148,133,116
 4, 1, 1, 115, 115,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  39, 154,597,470
 4, 2, 2,  43, 151,470,597
 4, 3, 1,  45, 199,470,125
 4, 3, 2,  23, 174,125,470
 4, 4, 1,  34, 233,125,667
 4, 4, 2, 426, 600,667,125
 4, 5, 1,  22, 255,667,422
 4, 5, 2,  20, 620,422,667
 4, 6, 1,  41, 296,422,151
 4, 6, 2,  64, 684,151,422
 4, 7, 1,  73, 369,151,20
 4, 7, 2,  75, 759,20,151
 4, 8, 1,   7, 376,20,741
 4, 8, 2,   8, 767,741,20
 4, 9, 1,  18, 394,741,773
 4, 9, 2,  18, 785,773,741
 4,10, 1,  71, 465,773,152
 4,10, 2,   5, 790,152,773
 5, 1, 1, 122, 122,4012,510
 5, 1, 2, 100, 100,510,4012
 5, 2, 1,  45, 167,510,528
 5, 2, 2,  47, 147,528,510
 5, 3, 1,  16, 183,528,327
 5, 3, 2,  14, 161,327,528
 5, 4, 1,  19, 202,327,458
 5, 4, 2,  25, 186,458,327
 5, 5, 1,  29, 231,458,459
 5, 5, 2,  34, 220,459,458
 5, 6, 1,  88, 319,459,405
 5, 6, 2,  91, 311,405,459
 6, 1, 1,  32,  32,405,150
 6, 1, 2, 125, 125,150,405
 6, 2, 1,  23,  55,150,148
 6, 2, 2,  37, 162,148,150
 6, 3, 1,  49, 104,148,149
 6, 3, 2,  15, 177,149,148
 6, 4, 1,  73, 177,149,44
 6, 4, 2, 102, 279,44,149
 6, 5, 1,  29, 206,44,351
 6, 5, 2,  29, 308,351,44
 6, 6, 1,  10, 216,351,36
 6, 6, 2,   7, 315,36,351
 6, 7, 1,  22, 238,36,776
 6, 7, 2, 257, 572,776,36
 6, 8, 1,   7, 245,776,37
 6, 8, 2,   7, 579,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 317, 317,691,179
 7, 2, 1,  61, 104,691,64
 7, 2, 2,  14, 331,64,691
 7, 3, 1,  22, 126,64,65
 7, 3, 2,  24, 355,65,64
 7, 4, 1,  36, 162,65,66
 7, 4, 2,  36, 391,66,65
 7, 5, 1,  38, 200,66,750
 7, 5, 2,   4, 395,750,66
 7, 6, 1,  59, 259,750,63
 7, 6, 2,  59, 454,63,750
 7, 7, 1,  41, 300,63,67
 7, 7, 2,  41, 495,67,63
 7, 8, 1,  26, 326,67,55
 7, 8, 2, 134, 629,55,67
 7, 9, 1,  24, 350,55,61
 7, 9, 2,  32, 661,61,55
 7,10, 1,  31, 381,61,59
 7,10, 2,  50, 711,59,61
 7,11, 1,  18, 399,59,76
 7,11, 2,  25, 736,76,59
 7,12, 1,  22, 421,76,141
 7,12, 2,  22, 758,141,76
 7,13, 1,  14, 435,141,166
 7,13, 2,  36, 794,166,141
 7,14, 1,  18, 453,166,182
 7,14, 2,  14, 808,182,166
 7,15, 1,  14, 467,182,403
 7,15, 2,  26, 834,403,182
 8, 1, 1,  35,  35,81,38
 8, 1, 2,  71,  71,38,81
 8, 2, 1,  58,  93,38,280
 8, 2, 2,  95, 166,280,38
 8, 3, 1, 156, 249,280,142
 8, 3, 2,  36, 202,142,280
 8, 4, 1,  17, 266,142,126
 8, 4, 2,  37, 239,126,142
 8, 5, 1,   7, 273,126,653
 8, 5, 2,  92, 331,653,126
 8, 6, 1,  42, 315,653,35
 8, 6, 2,  14, 345,35,653
 8, 7, 1,  30, 345,35,193
 8, 7, 2,  32, 377,193,35
 9, 1, 1,  39,  39,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 139,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 207,90,630
 9, 3, 2,  69, 206,630,90
 9, 4, 1,  71, 278,630,223
 9, 4, 2,  70, 276,223,630
 9, 5, 1,  72, 350,223,224
 9, 5, 2,  72, 348,224,223
 9, 6, 1,  41, 391,224,506
 9, 6, 2,  40, 388,506,224
 9, 7, 1,  33, 424,506,41
 9, 7, 2,  32, 420,41,506
 9, 8, 1,  26, 450,41,655
 9, 8, 2,  28, 448,655,41
 9, 9, 1,  43, 493,655,443
 9, 9, 2,  44, 492,443,655
 9,10, 1,  32, 525,443,73
 9,10, 2,  31, 523,73,443
 9,11, 1,  43, 568,73,72
 9,11, 2,  44, 567,72,73
 9,12, 1,  32, 600,72,194
 9,12, 2,  35, 602,194,72
 9,13, 1,  30, 630,194,282
 9,13, 2,  29, 631,282,194
 9,14, 1,  23, 653,282,2
 9,14, 2,  34, 665,2,282
 9,15, 1,  18, 671,2,203
 9,15, 2,  40, 705,203,2
 9,16, 1,  17, 688,203,3
 9,16, 2,  14, 719,3,203
10, 1, 1,  38,  38,124,410
10, 1, 2,  46,  46,410,124
10, 2, 1,  70, 108,410,189
10, 2, 2,  70, 116,189,410
10, 3, 1,   4, 112,189,738
10, 3, 2,  30, 146,738,189
10, 4, 1,  80, 192,738,372
10, 4, 2,  79, 225,372,738
10, 5, 1,  32, 224,372,42
10, 5, 2,  15, 240,42,372
10, 6, 1,  54, 278,42,172
10, 6, 2,  54, 294,172,42
10, 7, 1, 108, 386,172,370
10, 7, 2, 149, 443,370,172
11, 1, 1,  59,  59,130,5
11, 1, 2,  59,  59,5,130
11, 2, 1,  28,  87,5,151
11, 2, 2,  14,  73,151,5
11, 3, 1,  57, 144,151,127
11, 3, 2,  54, 127,127,151
11, 4, 1,  59, 203,127,149
11, 4, 2,   7, 134,149,127
11, 5, 1,  72, 275,149,432
11, 5, 2,  88, 222,432,149
12, 1, 1,  13,  13,832,9
12, 1, 2,   7,   7,9,832
12, 2, 1,  73,  86,9,178
12, 2, 2,  73,  80,178,9
12, 3, 1,  52, 138,178,148
12, 3, 2,  52, 132,148,178
13, 1, 1,  81,  81,2,3
13, 1, 2,  57,  57,3,2
13, 2, 1, 160, 241,3,513
