# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 174, 174,2127,175
 1, 1, 2,  89,  89,175,2127
 1, 2, 1, 134, 308,175,174
 1, 2, 2, 223, 312,174,175
 1, 3, 1,  56, 364,174,615
 1, 3, 2,  62, 374,615,174
 1, 4, 1,  32, 396,615,243
 1, 4, 2,  72, 446,243,615
 1, 5, 1,  31, 427,243,448
 1, 5, 2,  16, 462,448,243
 1, 6, 1,  79, 506,448,118
 1, 6, 2,  17, 479,118,448
 1, 7, 1,  16, 522,118,496
 1, 7, 2,  16, 495,496,118
 1, 8, 1, 117, 639,496,610
 1, 8, 2,   9, 504,610,496
 1, 9, 1, 109, 748,610,103
 1, 9, 2, 156, 660,103,610
 1,10, 1,   7, 755,103,614
 1,10, 2, 106, 766,614,103
 1,11, 1,  18, 773,614,613
 1,11, 2,  18, 784,613,614
 1,12, 1, 123, 896,613,104
 1,12, 2,  35, 819,104,613
 1,13, 1,  76, 972,104,758
 1,13, 2,   5, 824,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  36,  54,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 140, 194,196,26
 2, 3, 2, 390, 435,26,196
 2, 4, 1,  41, 235,26,193
 2, 4, 2,  66, 501,193,26
 2, 5, 1, 200, 435,193,37
 2, 5, 2,  59, 560,37,193
 2, 6, 1,  26, 461,37,152
 2, 6, 2, 169, 729,152,37
 2, 7, 1, 239, 700,152,760
 2, 7, 2, 298,1027,760,152
 3, 1, 1, 184, 184,269,39
 3, 1, 2, 178, 178,39,269
 3, 2, 1,  28, 212,39,116
 3, 2, 2,  30, 208,116,39
 3, 3, 1,  64, 276,116,133
 3, 3, 2,  63, 271,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  45, 153,470,597
 4, 3, 1,  26, 172,470,125
 4, 3, 2,  23, 176,125,470
 4, 4, 1,  30, 202,125,667
 4, 4, 2, 130, 306,667,125
 4, 5, 1,  19, 221,667,422
 4, 5, 2,  20, 326,422,667
 4, 6, 1,  40, 261,422,151
 4, 6, 2, 124, 450,151,422
 4, 7, 1,  73, 334,151,20
 4, 7, 2,  75, 525,20,151
 4, 8, 1,   7, 341,20,741
 4, 8, 2,   8, 533,741,20
 4, 9, 1,  18, 359,741,773
 4, 9, 2,  18, 551,773,741
 4,10, 1,  79, 438,773,152
 4,10, 2,   5, 556,152,773
 5, 1, 1,  96,  96,4012,510
 5, 1, 2,  91,  91,510,4012
 5, 2, 1,  45, 141,510,528
 5, 2, 2,  56, 147,528,510
 5, 3, 1,  15, 156,528,327
 5, 3, 2,  14, 161,327,528
 5, 4, 1,  16, 172,327,458
 5, 4, 2,  18, 179,458,327
 5, 5, 1,  26, 198,458,459
 5, 5, 2,  85, 264,459,458
 5, 6, 1,  87, 285,459,405
 5, 6, 2,  88, 352,405,459
 6, 1, 1,  37,  37,405,150
 6, 1, 2, 311, 311,150,405
 6, 2, 1,  23,  60,150,148
 6, 2, 2,  71, 382,148,150
 6, 3, 1,  31,  91,148,149
 6, 3, 2,  15, 397,149,148
 6, 4, 1,  73, 164,149,44
 6, 4, 2,  97, 494,44,149
