# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 140, 140,2127,175
 1, 1, 2,  63,  63,175,2127
 1, 2, 1, 109, 249,175,174
 1, 2, 2, 101, 164,174,175
 1, 3, 1,   8, 257,174,615
 1, 3, 2,  62, 226,615,174
 1, 4, 1,  32, 289,615,243
 1, 4, 2,  16, 242,243,615
 1, 5, 1,  31, 320,243,448
 1, 5, 2,  16, 258,448,243
 1, 6, 1,  72, 392,448,118
 1, 6, 2,  17, 275,118,448
 1, 7, 1,  16, 408,118,496
 1, 7, 2,  16, 291,496,118
 1, 8, 1,  40, 448,496,610
 1, 8, 2,   9, 300,610,496
 1, 9, 1,  24, 472,610,103
 1, 9, 2,  32, 332,103,610
 1,10, 1,   7, 479,103,614
 1,10, 2,  22, 354,614,103
 1,11, 1,  18, 497,614,613
 1,11, 2,  18, 372,613,614
 1,12, 1,  11, 508,613,104
 1,12, 2,   9, 381,104,613
 1,13, 1,  44, 552,104,758
 1,13, 2,   5, 386,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1, 381, 399,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 143, 542,196,26
 2, 3, 2,  80, 125,26,196
 2, 4, 1,  37, 579,26,193
 2, 4, 2,  46, 171,193,26
 2, 5, 1,  33, 612,193,37
 2, 5, 2,  39, 210,37,193
 2, 6, 1,  19, 631,37,152
 2, 6, 2,  29, 239,152,37
 2, 7, 1,  24, 655,152,760
 2, 7, 2,  83, 322,760,152
 3, 1, 1,  17,  17,269,39
 3, 1, 2,  22,  22,39,269
 3, 2, 1,  28,  45,39,116
 3, 2, 2,  30,  52,116,39
 3, 3, 1,  64, 109,116,133
 3, 3, 2,  63, 115,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  56, 164,470,597
 4, 3, 1,  32, 178,470,125
 4, 3, 2,  18, 182,125,470
 4, 4, 1,  30, 208,125,667
 4, 4, 2, 221, 403,667,125
 4, 5, 1,  19, 227,667,422
 4, 5, 2,  19, 422,422,667
 4, 6, 1,  37, 264,422,151
 4, 6, 2,  69, 491,151,422
 4, 7, 1,  72, 336,151,20
 4, 7, 2,  76, 567,20,151
 4, 8, 1,   7, 343,20,741
 4, 8, 2,   7, 574,741,20
 4, 9, 1,  18, 361,741,773
 4, 9, 2,  18, 592,773,741
 4,10, 1,  31, 392,773,152
 4,10, 2,   5, 597,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  48, 138,528,510
 5, 3, 1,  15, 151,528,327
 5, 3, 2,  14, 152,327,528
 5, 4, 1,  15, 166,327,458
 5, 4, 2,  18, 170,458,327
 5, 5, 1,  23, 189,458,459
 5, 5, 2,  25, 195,459,458
 5, 6, 1,  87, 276,459,405
 5, 6, 2,  88, 283,405,459
 6, 1, 1,  23,  23,405,150
 6, 1, 2,  70,  70,150,405
 6, 2, 1,  23,  46,150,148
