# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 127, 127,2127,175
 1, 1, 2,  61,  61,175,2127
 1, 2, 1, 107, 234,175,174
 1, 2, 2,  59, 120,174,175
 1, 3, 1,   8, 242,174,615
 1, 3, 2,  17, 137,615,174
 1, 4, 1,  32, 274,615,243
 1, 4, 2,  16, 153,243,615
 1, 5, 1,  31, 305,243,448
 1, 5, 2,  16, 169,448,243
 1, 6, 1,  43, 348,448,118
 1, 6, 2,  17, 186,118,448
 1, 7, 1,  16, 364,118,496
 1, 7, 2,  16, 202,496,118
 1, 8, 1,  20, 384,496,610
 1, 8, 2,   9, 211,610,496
 1, 9, 1,  24, 408,610,103
 1, 9, 2,  18, 229,103,610
 1,10, 1,   7, 415,103,614
 1,10, 2,  15, 244,614,103
 1,11, 1,  18, 433,614,613
 1,11, 2,  18, 262,613,614
 1,12, 1,   9, 442,613,104
 1,12, 2,   9, 271,104,613
 1,13, 1,  22, 464,104,758
 1,13, 2,   5, 276,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  27,  45,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  37,  82,196,26
 2, 3, 2,  43,  88,26,196
 2, 4, 1,  37, 119,26,193
 2, 4, 2,  43, 131,193,26
 2, 5, 1,  33, 152,193,37
 2, 5, 2,  36, 167,37,193
 2, 6, 1,  19, 171,37,152
 2, 6, 2,  27, 194,152,37
 2, 7, 1,  24, 195,152,760
 2, 7, 2,  28, 222,760,152
 3, 1, 1,  17,  17,269,39
 3, 1, 2,  18,  18,39,269
 3, 2, 1,  28,  45,39,116
 3, 2, 2,  29,  47,116,39
 3, 3, 1,  64, 109,116,133
 3, 3, 2,  63, 110,133,116
 4, 1, 1, 125, 125,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 162,597,470
 4, 2, 2,  40, 148,470,597
 4, 3, 1,  19, 181,470,125
 4, 3, 2,  18, 166,125,470
 4, 4, 1,  30, 211,125,667
 4, 4, 2,  76, 242,667,125
 4, 5, 1,  19, 230,667,422
 4, 5, 2,  19, 261,422,667
 4, 6, 1,  37, 267,422,151
 4, 6, 2,  42, 303,151,422
 4, 7, 1,  72, 339,151,20
 4, 7, 2,  73, 376,20,151
 4, 8, 1,   7, 346,20,741
 4, 8, 2,   7, 383,741,20
 4, 9, 1,  18, 364,741,773
 4, 9, 2,  18, 401,773,741
 4,10, 1,   8, 372,773,152
 4,10, 2,   5, 406,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  46, 136,528,510
 5, 3, 1,  15, 151,528,327
 5, 3, 2,  14, 150,327,528
 5, 4, 1,  15, 166,327,458
 5, 4, 2,  15, 165,458,327
 5, 5, 1,  23, 189,458,459
 5, 5, 2,  23, 188,459,458
 5, 6, 1,  87, 276,459,405
 5, 6, 2,  87, 275,405,459
 6, 1, 1,  23,  23,405,150
 6, 1, 2,  46,  46,150,405
 6, 2, 1,  22,  45,150,148
 6, 2, 2,  26,  72,148,150
 6, 3, 1,  17,  62,148,149
 6, 3, 2,  14,  86,149,148
 6, 4, 1,  73, 135,149,44
 6, 4, 2,  74, 160,44,149
 6, 5, 1,  29, 164,44,351
 6, 5, 2,  29, 189,351,44
 6, 6, 1,   8, 172,351,36
 6, 6, 2,   7, 196,36,351
 6, 7, 1,  22, 194,36,776
 6, 7, 2,  28, 224,776,36
 6, 8, 1,   7, 201,776,37
 6, 8, 2,   7, 231,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2,  72,  72,691,179
 7, 2, 1,  15,  58,691,64
 7, 2, 2,  14,  86,64,691
 7, 3, 1,  22,  80,64,65
 7, 3, 2,  23, 109,65,64
 7, 4, 1,  36, 116,65,66
 7, 4, 2,  36, 145,66,65
 7, 5, 1,  10, 126,66,750
 7, 5, 2,   4, 149,750,66
 7, 6, 1,  59, 185,750,63
 7, 6, 2,  58, 207,63,750
 7, 7, 1,  30, 215,63,67
 7, 7, 2,  32, 239,67,63
 7, 8, 1,  23, 238,67,55
 7, 8, 2,  34, 273,55,67
 7, 9, 1,  23, 261,55,61
 7, 9, 2,  26, 299,61,55
 7,10, 1,  19, 280,61,59
 7,10, 2,  28, 327,59,61
 7,11, 1,  18, 298,59,76
 7,11, 2,  21, 348,76,59
 7,12, 1,  22, 320,76,141
 7,12, 2,  22, 370,141,76
 7,13, 1,  14, 334,141,166
 7,13, 2,  29, 399,166,141
 7,14, 1,  15, 349,166,182
 7,14, 2,  14, 413,182,166
 7,15, 1,  14, 363,182,403
 7,15, 2,  18, 431,403,182
 8, 1, 1,  30,  30,81,38
 8, 1, 2,  33,  33,38,81
 8, 2, 1,  58,  88,38,280
 8, 2, 2,  59,  92,280,38
 8, 3, 1,  37, 125,280,142
 8, 3, 2,  36, 128,142,280
 8, 4, 1,  15, 140,142,126
 8, 4, 2,  21, 149,126,142
 8, 5, 1,   7, 147,126,653
 8, 5, 2,  13, 162,653,126
 8, 6, 1,  17, 164,653,35
 8, 6, 2,  14, 176,35,653
