# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 167, 167,2127,175
 1, 1, 2,  62,  62,175,2127
 1, 2, 1, 113, 280,175,174
 1, 2, 2,  66, 128,174,175
 1, 3, 1,   8, 288,174,615
 1, 3, 2,  28, 156,615,174
 1, 4, 1,  32, 320,615,243
 1, 4, 2,  16, 172,243,615
 1, 5, 1,  31, 351,243,448
 1, 5, 2,  16, 188,448,243
 1, 6, 1, 103, 454,448,118
 1, 6, 2,  17, 205,118,448
 1, 7, 1,  16, 470,118,496
 1, 7, 2,  16, 221,496,118
 1, 8, 1, 108, 578,496,610
 1, 8, 2,   9, 230,610,496
 1, 9, 1,  45, 623,610,103
 1, 9, 2,  44, 274,103,610
 1,10, 1,   7, 630,103,614
 1,10, 2,  23, 297,614,103
 1,11, 1,  18, 648,614,613
 1,11, 2,  18, 315,613,614
 1,12, 1,  10, 658,613,104
 1,12, 2,   9, 324,104,613
 1,13, 1,  24, 682,104,758
 1,13, 2,   5, 329,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  54,  72,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  84, 156,196,26
 2, 3, 2,  71, 116,26,196
 2, 4, 1,  60, 216,26,193
 2, 4, 2,  66, 182,193,26
 2, 5, 1, 100, 316,193,37
 2, 5, 2,  49, 231,37,193
 2, 6, 1, 128, 444,37,152
 2, 6, 2,  59, 290,152,37
 2, 7, 1,  34, 478,152,760
 2, 7, 2,  65, 355,760,152
 3, 1, 1,  36,  36,269,39
 3, 1, 2,  25,  25,39,269
 3, 2, 1,  28,  64,39,116
 3, 2, 2,  31,  56,116,39
 3, 3, 1,  66, 130,116,133
 3, 3, 2,  63, 119,133,116
 4, 1, 1, 112, 112,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  54, 166,597,470
 4, 2, 2,  43, 151,470,597
 4, 3, 1,  43, 209,470,125
 4, 3, 2,  18, 169,125,470
 4, 4, 1,  98, 307,125,667
 4, 4, 2,  44, 213,667,125
 4, 5, 1,  38, 345,667,422
 4, 5, 2,  19, 232,422,667
 4, 6, 1,  45, 390,422,151
 4, 6, 2, 107, 339,151,422
 4, 7, 1,  72, 462,151,20
 4, 7, 2,  78, 417,20,151
 4, 8, 1,   7, 469,20,741
 4, 8, 2,   7, 424,741,20
 4, 9, 1,  18, 487,741,773
 4, 9, 2,  18, 442,773,741
 4,10, 1,  80, 567,773,152
 4,10, 2,   5, 447,152,773
 5, 1, 1, 253, 253,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 298,510,528
 5, 2, 2,  46, 136,528,510
 5, 3, 1,  32, 330,528,327
 5, 3, 2,  14, 150,327,528
 5, 4, 1,  30, 360,327,458
 5, 4, 2,  18, 168,458,327
 5, 5, 1,  30, 390,458,459
 5, 5, 2,  30, 198,459,458
 5, 6, 1,  90, 480,459,405
 5, 6, 2,  87, 285,405,459
 6, 1, 1,  35,  35,405,150
 6, 1, 2, 224, 224,150,405
