# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 232, 232,2127,175
 1, 1, 2,  63,  63,175,2127
 1, 2, 1, 305, 537,175,174
 1, 2, 2,  69, 132,174,175
 1, 3, 1,   8, 545,174,615
 1, 3, 2,  42, 174,615,174
 1, 4, 1,  32, 577,615,243
 1, 4, 2,  26, 200,243,615
 1, 5, 1,  31, 608,243,448
 1, 5, 2,  16, 216,448,243
 1, 6, 1, 137, 745,448,118
 1, 6, 2,  17, 233,118,448
 1, 7, 1,  16, 761,118,496
 1, 7, 2,  16, 249,496,118
 1, 8, 1, 130, 891,496,610
 1, 8, 2,   9, 258,610,496
 1, 9, 1,  58, 949,610,103
 1, 9, 2,  38, 296,103,610
 1,10, 1,   7, 956,103,614
 1,10, 2,  19, 315,614,103
 1,11, 1,  18, 974,614,613
 1,11, 2,  18, 333,613,614
 1,12, 1,  55,1029,613,104
 1,12, 2,   9, 342,104,613
 1,13, 1,  76,1105,104,758
 1,13, 2,   5, 347,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  57,  75,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 189, 264,196,26
 2, 3, 2, 159, 204,26,196
 2, 4, 1, 129, 393,26,193
 2, 4, 2, 140, 344,193,26
 2, 5, 1,  81, 474,193,37
 2, 5, 2, 115, 459,37,193
 2, 6, 1, 145, 619,37,152
 2, 6, 2,  74, 533,152,37
 2, 7, 1,  38, 657,152,760
 2, 7, 2, 191, 724,760,152
 3, 1, 1,  49,  49,269,39
 3, 1, 2,  25,  25,39,269
 3, 2, 1,  28,  77,39,116
 3, 2, 2,  32,  57,116,39
 3, 3, 1,  69, 146,116,133
 3, 3, 2,  63, 120,133,116
 4, 1, 1, 114, 114,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1, 113, 227,597,470
 4, 2, 2,  44, 152,470,597
 4, 3, 1,  33, 260,470,125
 4, 3, 2,  25, 177,125,470
 4, 4, 1,  77, 337,125,667
 4, 4, 2, 170, 347,667,125
 4, 5, 1,  33, 370,667,422
 4, 5, 2,  19, 366,422,667
 4, 6, 1,  55, 425,422,151
 4, 6, 2, 223, 589,151,422
 4, 7, 1,  73, 498,151,20
 4, 7, 2,  83, 672,20,151
 4, 8, 1,   7, 505,20,741
 4, 8, 2,   8, 680,741,20
 4, 9, 1,  18, 523,741,773
 4, 9, 2,  18, 698,773,741
 4,10, 1,  80, 603,773,152
 4,10, 2,   5, 703,152,773
 5, 1, 1, 150, 150,4012,510
 5, 1, 2, 109, 109,510,4012
 5, 2, 1,  45, 195,510,528
 5, 2, 2,  46, 155,528,510
 5, 3, 1,  28, 223,528,327
 5, 3, 2,  14, 169,327,528
 5, 4, 1,  24, 247,327,458
 5, 4, 2,  16, 185,458,327
 5, 5, 1,  30, 277,458,459
 5, 5, 2,  36, 221,459,458
 5, 6, 1,  90, 367,459,405
 5, 6, 2,  88, 309,405,459
 6, 1, 1,  32,  32,405,150
 6, 1, 2, 230, 230,150,405
 6, 2, 1,  23,  55,150,148
 6, 2, 2,  44, 274,148,150
 6, 3, 1,  57, 112,148,149
 6, 3, 2,  15, 289,149,148
 6, 4, 1,  77, 189,149,44
 6, 4, 2, 105, 394,44,149
 6, 5, 1,  29, 218,44,351
 6, 5, 2,  29, 423,351,44
 6, 6, 1,  37, 255,351,36
 6, 6, 2,   7, 430,36,351
 6, 7, 1,  22, 277,36,776
 6, 7, 2,  82, 512,776,36
 6, 8, 1,   7, 284,776,37
 6, 8, 2,   7, 519,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 162, 162,691,179
 7, 2, 1,  68, 111,691,64
 7, 2, 2,  14, 176,64,691
 7, 3, 1,  22, 133,64,65
 7, 3, 2,  28, 204,65,64
 7, 4, 1,  36, 169,65,66
 7, 4, 2,  36, 240,66,65
 7, 5, 1,  53, 222,66,750
 7, 5, 2,   4, 244,750,66
 7, 6, 1,  65, 287,750,63
 7, 6, 2,  59, 303,63,750
 7, 7, 1,  46, 333,63,67
 7, 7, 2,  43, 346,67,63
 7, 8, 1, 107, 440,67,55
 7, 8, 2, 234, 580,55,67
 7, 9, 1,  33, 473,55,61
 7, 9, 2,  41, 621,61,55
 7,10, 1,  94, 567,61,59
 7,10, 2, 122, 743,59,61
 7,11, 1,  18, 585,59,76
 7,11, 2,  45, 788,76,59
 7,12, 1,  22, 607,76,141
 7,12, 2,  22, 810,141,76
 7,13, 1,  14, 621,141,166
 7,13, 2,  62, 872,166,141
 7,14, 1,  42, 663,166,182
 7,14, 2,  14, 886,182,166
 7,15, 1,  14, 677,182,403
 7,15, 2, 141,1027,403,182
 8, 1, 1,  43,  43,81,38
 8, 1, 2,  44,  44,38,81
 8, 2, 1,  58, 101,38,280
 8, 2, 2, 176, 220,280,38
 8, 3, 1,  41, 142,280,142
 8, 3, 2,  36, 256,142,280
 8, 4, 1,  25, 167,142,126
 8, 4, 2, 132, 388,126,142
 8, 5, 1,   7, 174,126,653
 8, 5, 2,  59, 447,653,126
 8, 6, 1, 143, 317,653,35
 8, 6, 2,  14, 461,35,653
 8, 7, 1, 146, 463,35,193
 8, 7, 2,  33, 494,193,35
 9, 1, 1,  41,  41,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 141,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 209,90,630
 9, 3, 2,  70, 207,630,90
 9, 4, 1,  74, 283,630,223
 9, 4, 2,  70, 277,223,630
 9, 5, 1,  72, 355,223,224
 9, 5, 2,  72, 349,224,223
 9, 6, 1,  44, 399,224,506
 9, 6, 2,  40, 389,506,224
 9, 7, 1,  35, 434,506,41
 9, 7, 2,  32, 421,41,506
 9, 8, 1,  29, 463,41,655
 9, 8, 2,  28, 449,655,41
 9, 9, 1,  44, 507,655,443
 9, 9, 2,  45, 494,443,655
 9,10, 1,  36, 543,443,73
 9,10, 2,  31, 525,73,443
 9,11, 1,  56, 599,73,72
 9,11, 2,  51, 576,72,73
 9,12, 1,  48, 647,72,194
 9,12, 2,  48, 624,194,72
 9,13, 1,  29, 676,194,282
 9,13, 2,  29, 653,282,194
 9,14, 1,  26, 702,282,2
 9,14, 2,  20, 673,2,282
 9,15, 1,  18, 720,2,203
 9,15, 2,  63, 736,203,2
 9,16, 1,  30, 750,203,3
 9,16, 2,  14, 750,3,203
10, 1, 1,  39,  39,124,410
10, 1, 2,  63,  63,410,124
10, 2, 1,  74, 113,410,189
10, 2, 2,  73, 136,189,410
10, 3, 1,   4, 117,189,738
10, 3, 2,  53, 189,738,189
10, 4, 1,  81, 198,738,372
10, 4, 2,  79, 268,372,738
10, 5, 1,  41, 239,372,42
10, 5, 2,  15, 283,42,372
10, 6, 1,  75, 314,42,172
10, 6, 2,  59, 342,172,42
10, 7, 1, 108, 422,172,370
10, 7, 2, 113, 455,370,172
11, 1, 1,  59,  59,130,5
11, 1, 2,  59,  59,5,130
11, 2, 1,  53, 112,5,151
11, 2, 2,  14,  73,151,5
11, 3, 1, 157, 269,151,127
11, 3, 2,  54, 127,127,151
11, 4, 1, 107, 376,127,149
11, 4, 2,   7, 134,149,127
11, 5, 1,  72, 448,149,432
11, 5, 2,  80, 214,432,149
12, 1, 1,   7,   7,832,9
12, 1, 2,   7,   7,9,832
12, 2, 1,  73,  80,9,178
12, 2, 2,  73,  80,178,9
12, 3, 1,  52, 132,178,148
12, 3, 2,  52, 132,148,178
13, 1, 1, 133, 133,2,3
13, 1, 2,  57,  57,3,2
13, 2, 1,  65, 198,3,513
13, 2, 2,  19,  76,513,3
13, 3, 1, 229, 427,513,354
13, 3, 2,  30, 106,354,513
13, 4, 1, 449, 876,354,355
13, 4, 2,  30, 136,355,354
13, 5, 1,  65, 941,355,439
13, 5, 2,  30, 166,439,355
13, 6, 1,  60,1001,439,145
13, 6, 2,  25, 191,145,439
13, 7, 1, 132,1133,145,143
13, 7, 2,  16, 207,143,145
13, 8, 1,  89,1222,143,144
13, 8, 2,  32, 239,144,143
14, 1, 1,  22,  22,456,110
14, 1, 2,  22,  22,110,456
14, 2, 1, 123, 145,110,109
14, 2, 2, 123, 145,109,110
14, 3, 1,  20, 165,109,331
14, 3, 2,  19, 164,331,109
14, 4, 1,  11, 176,331,586
14, 4, 2,  13, 177,586,331
14, 5, 1,  31, 207,586,107
14, 5, 2,  25, 202,107,586
14, 6, 1,  45, 252,107,701
14, 6, 2,  41, 243,701,107
14, 7, 1,  37, 289,701,108
14, 7, 2,  37, 280,108,701
14, 8, 1,  46, 335,108,73
14, 8, 2,  45, 325,73,108
14, 9, 1,  47, 382,73,72
14, 9, 2,  46, 371,72,73
14,10, 1,  29, 411,72,132
14,10, 2,  26, 397,132,72
15, 1, 1,  51,  51,49,50
15, 1, 2,  10,  10,50,49
15, 2, 1,  46,  97,50,272
15, 2, 2,  16,  26,272,50
15, 3, 1,  11, 108,272,229
15, 3, 2,  10,  36,229,272
15, 4, 1, 199, 307,229,196
15, 4, 2,  16,  52,196,229
16, 1, 1,  21,  21,197,196
16, 1, 2,  13,  13,196,197
16, 2, 1,  24,  45,196,232
16, 2, 2,  22,  35,232,196
16, 3, 1,  22,  67,232,226
16, 3, 2,  22,  57,226,232
16, 4, 1,  34, 101,226,272
16, 4, 2,  33,  90,272,226
