# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 151, 151,2127,175
 1, 1, 2,  69,  69,175,2127
 1, 2, 1, 107, 258,175,174
 1, 2, 2, 195, 264,174,175
 1, 3, 1,   8, 266,174,615
 1, 3, 2,  62, 326,615,174
 1, 4, 1,  32, 298,615,243
 1, 4, 2,  16, 342,243,615
 1, 5, 1,  31, 329,243,448
 1, 5, 2,  16, 358,448,243
 1, 6, 1,  70, 399,448,118
 1, 6, 2,  17, 375,118,448
 1, 7, 1,  16, 415,118,496
 1, 7, 2,  16, 391,496,118
 1, 8, 1,  97, 512,496,610
 1, 8, 2,   9, 400,610,496
 1, 9, 1, 131, 643,610,103
 1, 9, 2, 112, 512,103,610
 1,10, 1,   7, 650,103,614
 1,10, 2, 106, 618,614,103
 1,11, 1,  18, 668,614,613
 1,11, 2,  18, 636,613,614
 1,12, 1, 103, 771,613,104
 1,12, 2,   9, 645,104,613
 1,13, 1,  73, 844,104,758
 1,13, 2,   5, 650,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  27,  45,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 343, 388,196,26
 2, 3, 2,  74, 119,26,196
 2, 4, 1,  60, 448,26,193
 2, 4, 2,  43, 162,193,26
 2, 5, 1, 472, 920,193,37
 2, 5, 2, 113, 275,37,193
 2, 6, 1,  19, 939,37,152
 2, 6, 2, 128, 403,152,37
 2, 7, 1,  33, 972,152,760
 2, 7, 2, 336, 739,760,152
 3, 1, 1, 163, 163,269,39
 3, 1, 2, 237, 237,39,269
 3, 2, 1,  28, 191,39,116
 3, 2, 2,  29, 266,116,39
 3, 3, 1,  64, 255,116,133
 3, 3, 2,  63, 329,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  52, 160,470,597
 4, 3, 1,  19, 165,470,125
 4, 3, 2,  18, 178,125,470
 4, 4, 1,  30, 195,125,667
 4, 4, 2, 431, 609,667,125
 4, 5, 1,  19, 214,667,422
 4, 5, 2,  19, 628,422,667
 4, 6, 1, 130, 344,422,151
 4, 6, 2,  63, 691,151,422
 4, 7, 1,  72, 416,151,20
 4, 7, 2,  96, 787,20,151
 4, 8, 1,   7, 423,20,741
 4, 8, 2,   7, 794,741,20
 4, 9, 1,  18, 441,741,773
 4, 9, 2,  18, 812,773,741
 4,10, 1,  80, 521,773,152
 4,10, 2,   5, 817,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  46, 136,528,510
 5, 3, 1,  15, 151,528,327
 5, 3, 2,  14, 150,327,528
 5, 4, 1,  15, 166,327,458
 5, 4, 2,  15, 165,458,327
 5, 5, 1,  23, 189,458,459
 5, 5, 2,  29, 194,459,458
 5, 6, 1,  87, 276,459,405
 5, 6, 2,  87, 281,405,459
 6, 1, 1,  26,  26,405,150
 6, 1, 2, 129, 129,150,405
 6, 2, 1,  22,  48,150,148
 6, 2, 2, 196, 325,148,150
 6, 3, 1,  45,  93,148,149
 6, 3, 2,  14, 339,149,148
 6, 4, 1,  73, 166,149,44
 6, 4, 2,  98, 437,44,149
 6, 5, 1,  29, 195,44,351
 6, 5, 2,  29, 466,351,44
