# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 147, 147,2127,175
 1, 1, 2,  64,  64,175,2127
 1, 2, 1, 115, 262,175,174
 1, 2, 2,  94, 158,174,175
 1, 3, 1,  27, 289,174,615
 1, 3, 2,  57, 215,615,174
 1, 4, 1,  32, 321,615,243
 1, 4, 2,  80, 295,243,615
 1, 5, 1,  31, 352,243,448
 1, 5, 2,  16, 311,448,243
 1, 6, 1,  63, 415,448,118
 1, 6, 2,  17, 328,118,448
 1, 7, 1,  16, 431,118,496
 1, 7, 2,  16, 344,496,118
 1, 8, 1,  45, 476,496,610
 1, 8, 2,   9, 353,610,496
 1, 9, 1,  49, 525,610,103
 1, 9, 2,  36, 389,103,610
 1,10, 1,   7, 532,103,614
 1,10, 2,  28, 417,614,103
 1,11, 1,  18, 550,614,613
 1,11, 2,  18, 435,613,614
 1,12, 1,  11, 561,613,104
 1,12, 2,  32, 467,104,613
 1,13, 1,  31, 592,104,758
 1,13, 2,   5, 472,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1, 385, 403,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  48, 451,196,26
 2, 3, 2, 118, 163,26,196
 2, 4, 1,  43, 494,26,193
 2, 4, 2,  59, 222,193,26
 2, 5, 1, 203, 697,193,37
 2, 5, 2,  42, 264,37,193
 2, 6, 1,  19, 716,37,152
 2, 6, 2,  30, 294,152,37
 2, 7, 1,  24, 740,152,760
 2, 7, 2,  48, 342,760,152
 3, 1, 1,  17,  17,269,39
 3, 1, 2,  36,  36,39,269
 3, 2, 1,  28,  45,39,116
 3, 2, 2,  30,  66,116,39
 3, 3, 1,  64, 109,116,133
 3, 3, 2,  63, 129,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  40, 148,470,597
 4, 3, 1,  21, 167,470,125
 4, 3, 2,  21, 169,125,470
 4, 4, 1,  30, 197,125,667
 4, 4, 2,  62, 231,667,125
 4, 5, 1,  19, 216,667,422
 4, 5, 2,  19, 250,422,667
 4, 6, 1,  37, 253,422,151
 4, 6, 2,  94, 344,151,422
 4, 7, 1,  73, 326,151,20
 4, 7, 2,  74, 418,20,151
 4, 8, 1,   7, 333,20,741
 4, 8, 2,   8, 426,741,20
 4, 9, 1,  18, 351,741,773
 4, 9, 2,  18, 444,773,741
 4,10, 1,  17, 368,773,152
 4,10, 2,   5, 449,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  91,  91,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  46, 137,528,510
 5, 3, 1,  15, 151,528,327
 5, 3, 2,  14, 151,327,528
 5, 4, 1,  15, 166,327,458
 5, 4, 2,  16, 167,458,327
 5, 5, 1,  23, 189,458,459
 5, 5, 2,  23, 190,459,458
 5, 6, 1,  87, 276,459,405
 5, 6, 2,  87, 277,405,459
 6, 1, 1,  24,  24,405,150
 6, 1, 2,  84,  84,150,405
 6, 2, 1,  23,  47,150,148
 6, 2, 2,  63, 147,148,150
 6, 3, 1,  45,  92,148,149
 6, 3, 2,  15, 162,149,148
 6, 4, 1,  73, 165,149,44
 6, 4, 2,  96, 258,44,149
 6, 5, 1,  29, 194,44,351
 6, 5, 2,  29, 287,351,44
 6, 6, 1,  10, 204,351,36
 6, 6, 2,   7, 294,36,351
 6, 7, 1,  22, 226,36,776
 6, 7, 2, 282, 576,776,36
 6, 8, 1,   7, 233,776,37
 6, 8, 2,   7, 583,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 244, 244,691,179
 7, 2, 1,  27,  70,691,64
 7, 2, 2,  14, 258,64,691
 7, 3, 1,  22,  92,64,65
 7, 3, 2,  28, 286,65,64
 7, 4, 1,  36, 128,65,66
 7, 4, 2,  36, 322,66,65
 7, 5, 1,  31, 159,66,750
 7, 5, 2,   4, 326,750,66
 7, 6, 1,  59, 218,750,63
 7, 6, 2,  59, 385,63,750
 7, 7, 1,  36, 254,63,67
 7, 7, 2,  37, 422,67,63
 7, 8, 1,  23, 277,67,55
 7, 8, 2, 121, 543,55,67
 7, 9, 1,  32, 309,55,61
 7, 9, 2,  29, 572,61,55
 7,10, 1,  43, 352,61,59
 7,10, 2,  58, 630,59,61
 7,11, 1,  18, 370,59,76
 7,11, 2,  35, 665,76,59
 7,12, 1,  32, 402,76,141
 7,12, 2,  22, 687,141,76
 7,13, 1,  14, 416,141,166
 7,13, 2,  50, 737,166,141
 7,14, 1,  51, 467,166,182
 7,14, 2,  14, 751,182,166
 7,15, 1,  14, 481,182,403
 7,15, 2, 214, 965,403,182
 8, 1, 1,  30,  30,81,38
 8, 1, 2,  46,  46,38,81
 8, 2, 1,  58,  88,38,280
 8, 2, 2,  95, 141,280,38
 8, 3, 1, 121, 209,280,142
 8, 3, 2,  36, 177,142,280
 8, 4, 1,  15, 224,142,126
 8, 4, 2,  68, 245,126,142
 8, 5, 1,   7, 231,126,653
 8, 5, 2, 107, 352,653,126
 8, 6, 1,  42, 273,653,35
 8, 6, 2,  14, 366,35,653
