# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 169, 169,2127,175
 1, 1, 2,  64,  64,175,2127
 1, 2, 1, 247, 416,175,174
 1, 2, 2,  87, 151,174,175
 1, 3, 1, 123, 539,174,615
 1, 3, 2,  44, 195,615,174
 1, 4, 1,  32, 571,615,243
 1, 4, 2,  86, 281,243,615
 1, 5, 1,  31, 602,243,448
 1, 5, 2,  16, 297,448,243
 1, 6, 1,  84, 686,448,118
 1, 6, 2,  17, 314,118,448
 1, 7, 1,  16, 702,118,496
 1, 7, 2,  16, 330,496,118
 1, 8, 1, 117, 819,496,610
 1, 8, 2,   9, 339,610,496
 1, 9, 1,  62, 881,610,103
 1, 9, 2,  59, 398,103,610
 1,10, 1,   7, 888,103,614
 1,10, 2,  50, 448,614,103
 1,11, 1,  18, 906,614,613
 1,11, 2,  18, 466,613,614
 1,12, 1,  19, 925,613,104
 1,12, 2,  40, 506,104,613
 1,13, 1,  39, 964,104,758
 1,13, 2,   5, 511,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  72,  90,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 159, 249,196,26
 2, 3, 2,  55, 100,26,196
 2, 4, 1,  46, 295,26,193
 2, 4, 2,  97, 197,193,26
 2, 5, 1,  75, 370,193,37
 2, 5, 2,  81, 278,37,193
 2, 6, 1,  43, 413,37,152
 2, 6, 2,  51, 329,152,37
 2, 7, 1,  31, 444,152,760
 2, 7, 2,  95, 424,760,152
 3, 1, 1,  22,  22,269,39
 3, 1, 2,  20,  20,39,269
 3, 2, 1,  28,  50,39,116
 3, 2, 2,  30,  50,116,39
 3, 3, 1,  65, 115,116,133
 3, 3, 2,  63, 113,133,116
 4, 1, 1, 127, 127,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  78, 205,597,470
 4, 2, 2,  53, 161,470,597
 4, 3, 1,  66, 271,470,125
 4, 3, 2,  24, 185,125,470
 4, 4, 1,  44, 315,125,667
 4, 4, 2, 166, 351,667,125
 4, 5, 1,  36, 351,667,422
 4, 5, 2,  19, 370,422,667
 4, 6, 1,  75, 426,422,151
 4, 6, 2, 222, 592,151,422
 4, 7, 1,  73, 499,151,20
 4, 7, 2,  81, 673,20,151
 4, 8, 1,   7, 506,20,741
 4, 8, 2,   8, 681,741,20
 4, 9, 1,  18, 524,741,773
 4, 9, 2,  18, 699,773,741
 4,10, 1,  78, 602,773,152
 4,10, 2,   5, 704,152,773
 5, 1, 1, 116, 116,4012,510
 5, 1, 2, 100, 100,510,4012
 5, 2, 1,  45, 161,510,528
 5, 2, 2,  52, 152,528,510
 5, 3, 1,  24, 185,528,327
 5, 3, 2,  14, 166,327,528
 5, 4, 1,  37, 222,327,458
 5, 4, 2,  20, 186,458,327
 5, 5, 1,  41, 263,458,459
 5, 5, 2,  69, 255,459,458
 5, 6, 1,  89, 352,459,405
 5, 6, 2,  98, 353,405,459
 6, 1, 1,  33,  33,405,150
 6, 1, 2,  98,  98,150,405
 6, 2, 1,  23,  56,150,148
 6, 2, 2, 108, 206,148,150
 6, 3, 1,  35,  91,148,149
 6, 3, 2,  15, 221,149,148
 6, 4, 1,  75, 166,149,44
 6, 4, 2, 104, 325,44,149
 6, 5, 1,  29, 195,44,351
 6, 5, 2,  29, 354,351,44
 6, 6, 1,  26, 221,351,36
 6, 6, 2,   7, 361,36,351
 6, 7, 1,  22, 243,36,776
 6, 7, 2, 265, 626,776,36
 6, 8, 1,   7, 250,776,37
 6, 8, 2,   7, 633,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 463, 463,691,179
 7, 2, 1, 105, 148,691,64
 7, 2, 2,  14, 477,64,691
 7, 3, 1,  22, 170,64,65
 7, 3, 2,  28, 505,65,64
 7, 4, 1,  36, 206,65,66
 7, 4, 2,  36, 541,66,65
 7, 5, 1,  53, 259,66,750
 7, 5, 2,   4, 545,750,66
 7, 6, 1,  60, 319,750,63
 7, 6, 2,  59, 604,63,750
 7, 7, 1,  78, 397,63,67
 7, 7, 2,  45, 649,67,63
 7, 8, 1,  63, 460,67,55
 7, 8, 2, 146, 795,55,67
 7, 9, 1,  75, 535,55,61
 7, 9, 2, 133, 928,61,55
 7,10, 1,  35, 570,61,59
 7,10, 2, 226,1154,59,61
 7,11, 1,  18, 588,59,76
 7,11, 2,  36,1190,76,59
 7,12, 1,  51, 639,76,141
 7,12, 2,  22,1212,141,76
 7,13, 1,  14, 653,141,166
 7,13, 2,  61,1273,166,141
 7,14, 1,  31, 684,166,182
 7,14, 2,  14,1287,182,166
 7,15, 1,  14, 698,182,403
 7,15, 2,  40,1327,403,182
 8, 1, 1,  40,  40,81,38
 8, 1, 2,  54,  54,38,81
 8, 2, 1,  58,  98,38,280
 8, 2, 2, 196, 250,280,38
 8, 3, 1,  41, 139,280,142
 8, 3, 2,  36, 286,142,280
 8, 4, 1,  22, 161,142,126
 8, 4, 2,  65, 351,126,142
 8, 5, 1,   7, 168,126,653
 8, 5, 2,  53, 404,653,126
 8, 6, 1,  86, 254,653,35
 8, 6, 2,  14, 418,35,653
 8, 7, 1,  33, 287,35,193
 8, 7, 2,  38, 456,193,35
 9, 1, 1,  40,  40,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 140,494,90
