# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 149, 149,2127,175
 1, 1, 2,  63,  63,175,2127
 1, 2, 1, 107, 256,175,174
 1, 2, 2, 124, 187,174,175
 1, 3, 1,  42, 298,174,615
 1, 3, 2,  41, 228,615,174
 1, 4, 1,  32, 330,615,243
 1, 4, 2, 101, 329,243,615
 1, 5, 1,  31, 361,243,448
 1, 5, 2,  16, 345,448,243
 1, 6, 1,  71, 432,448,118
 1, 6, 2,  17, 362,118,448
 1, 7, 1,  16, 448,118,496
 1, 7, 2,  16, 378,496,118
 1, 8, 1,  68, 516,496,610
 1, 8, 2,   9, 387,610,496
 1, 9, 1,  38, 554,610,103
 1, 9, 2,  55, 442,103,610
 1,10, 1,   7, 561,103,614
 1,10, 2,  46, 488,614,103
 1,11, 1,  18, 579,614,613
 1,11, 2,  18, 506,613,614
 1,12, 1,  10, 589,613,104
 1,12, 2,  41, 547,104,613
 1,13, 1,  25, 614,104,758
 1,13, 2,   5, 552,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1, 231, 249,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 123, 372,196,26
 2, 3, 2,  44,  89,26,196
 2, 4, 1,  37, 409,26,193
 2, 4, 2,  48, 137,193,26
 2, 5, 1,  33, 442,193,37
 2, 5, 2,  41, 178,37,193
 2, 6, 1,  19, 461,37,152
 2, 6, 2,  34, 212,152,37
 2, 7, 1,  24, 485,152,760
 2, 7, 2,  94, 306,760,152
 3, 1, 1,  17,  17,269,39
 3, 1, 2,  21,  21,39,269
 3, 2, 1,  28,  45,39,116
 3, 2, 2,  29,  50,116,39
 3, 3, 1,  78, 123,116,133
 3, 3, 2,  63, 113,133,116
 4, 1, 1, 200, 200,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 237,597,470
 4, 2, 2,  42, 150,470,597
 4, 3, 1,  35, 272,470,125
 4, 3, 2,  22, 172,125,470
 4, 4, 1,  30, 302,125,667
 4, 4, 2, 140, 312,667,125
 4, 5, 1,  19, 321,667,422
 4, 5, 2,  19, 331,422,667
 4, 6, 1,  37, 358,422,151
 4, 6, 2,  48, 379,151,422
 4, 7, 1,  73, 431,151,20
 4, 7, 2,  75, 454,20,151
 4, 8, 1,   7, 438,20,741
 4, 8, 2,   8, 462,741,20
 4, 9, 1,  18, 456,741,773
 4, 9, 2,  18, 480,773,741
 4,10, 1,  38, 494,773,152
 4,10, 2,   5, 485,152,773
 5, 1, 1, 106, 106,4012,510
 5, 1, 2, 103, 103,510,4012
 5, 2, 1,  45, 151,510,528
 5, 2, 2,  46, 149,528,510
 5, 3, 1,  16, 167,528,327
 5, 3, 2,  14, 163,327,528
 5, 4, 1,  15, 182,327,458
 5, 4, 2,  16, 179,458,327
 5, 5, 1,  23, 205,458,459
 5, 5, 2,  78, 257,459,458
 5, 6, 1,  87, 292,459,405
 5, 6, 2,  89, 346,405,459
 6, 1, 1,  29,  29,405,150
 6, 1, 2, 254, 254,150,405
 6, 2, 1,  23,  52,150,148
 6, 2, 2,  30, 284,148,150
 6, 3, 1,  37,  89,148,149
 6, 3, 2,  15, 299,149,148
 6, 4, 1,  73, 162,149,44
 6, 4, 2, 113, 412,44,149
 6, 5, 1,  29, 191,44,351
 6, 5, 2,  29, 441,351,44
 6, 6, 1,   8, 199,351,36
 6, 6, 2,   7, 448,36,351
 6, 7, 1,  22, 221,36,776
 6, 7, 2, 323, 771,776,36
 6, 8, 1,   7, 228,776,37
 6, 8, 2,   7, 778,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 263, 263,691,179
 7, 2, 1,  15,  58,691,64
 7, 2, 2,  14, 277,64,691
 7, 3, 1,  22,  80,64,65
 7, 3, 2,  23, 300,65,64
 7, 4, 1,  36, 116,65,66
 7, 4, 2,  36, 336,66,65
 7, 5, 1,  33, 149,66,750
 7, 5, 2,   4, 340,750,66
 7, 6, 1,  59, 208,750,63
 7, 6, 2,  59, 399,63,750
 7, 7, 1,  30, 238,63,67
 7, 7, 2,  56, 455,67,63
 7, 8, 1,  23, 261,67,55
 7, 8, 2,  71, 526,55,67
 7, 9, 1,  27, 288,55,61
 7, 9, 2,  27, 553,61,55
 7,10, 1,  21, 309,61,59
 7,10, 2,  38, 591,59,61
 7,11, 1,  18, 327,59,76
 7,11, 2, 228, 819,76,59
 7,12, 1,  24, 351,76,141
 7,12, 2,  22, 841,141,76
 7,13, 1,  14, 365,141,166
 7,13, 2,  34, 875,166,141
 7,14, 1,  21, 386,166,182
 7,14, 2,  14, 889,182,166
 7,15, 1,  14, 400,182,403
 7,15, 2,  25, 914,403,182
 8, 1, 1,  30,  30,81,38
 8, 1, 2,  45,  45,38,81
 8, 2, 1,  58,  88,38,280
 8, 2, 2,  63, 108,280,38
 8, 3, 1,  37, 125,280,142
 8, 3, 2,  36, 144,142,280
 8, 4, 1,  15, 140,142,126
 8, 4, 2,  55, 199,126,142
 8, 5, 1,   7, 147,126,653
 8, 5, 2,  44, 243,653,126
 8, 6, 1,  23, 170,653,35
 8, 6, 2,  14, 257,35,653
 8, 7, 1,  16, 186,35,193
 8, 7, 2,  48, 305,193,35
 9, 1, 1,  39,  39,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 139,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 207,90,630
 9, 3, 2,  69, 206,630,90
 9, 4, 1,  71, 278,630,223
 9, 4, 2,  70, 276,223,630
 9, 5, 1,  72, 350,223,224
 9, 5, 2,  72, 348,224,223
 9, 6, 1,  41, 391,224,506
 9, 6, 2,  40, 388,506,224
 9, 7, 1,  33, 424,506,41
 9, 7, 2,  32, 420,41,506
 9, 8, 1,  26, 450,41,655
 9, 8, 2,  27, 447,655,41
 9, 9, 1,  43, 493,655,443
 9, 9, 2,  43, 490,443,655
 9,10, 1,  32, 525,443,73
 9,10, 2,  31, 521,73,443
 9,11, 1,  42, 567,73,72
