# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 166, 166,2127,175
 1, 1, 2,  89,  89,175,2127
 1, 2, 1, 108, 274,175,174
 1, 2, 2, 141, 230,174,175
 1, 3, 1,  37, 311,174,615
 1, 3, 2,  62, 292,615,174
 1, 4, 1,  32, 343,615,243
 1, 4, 2,  93, 385,243,615
 1, 5, 1,  31, 374,243,448
 1, 5, 2,  16, 401,448,243
 1, 6, 1, 158, 532,448,118
 1, 6, 2,  17, 418,118,448
 1, 7, 1,  16, 548,118,496
 1, 7, 2,  16, 434,496,118
 1, 8, 1, 115, 663,496,610
 1, 8, 2,   9, 443,610,496
 1, 9, 1,  14, 677,610,103
 1, 9, 2,  94, 537,103,610
 1,10, 1,   7, 684,103,614
 1,10, 2,  12, 549,614,103
 1,11, 1,  18, 702,614,613
 1,11, 2,  18, 567,613,614
 1,12, 1, 130, 832,613,104
 1,12, 2,  52, 619,104,613
 1,13, 1,  76, 908,104,758
 1,13, 2,   5, 624,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  33,  51,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  64, 115,196,26
 2, 3, 2,  72, 117,26,196
 2, 4, 1,  53, 168,26,193
 2, 4, 2,  43, 160,193,26
 2, 5, 1, 472, 640,193,37
 2, 5, 2,  47, 207,37,193
 2, 6, 1,  19, 659,37,152
 2, 6, 2,  37, 244,152,37
 2, 7, 1,  25, 684,152,760
 2, 7, 2, 115, 359,760,152
 3, 1, 1, 185, 185,269,39
 3, 1, 2, 226, 226,39,269
 3, 2, 1,  28, 213,39,116
 3, 2, 2,  29, 255,116,39
 3, 3, 1,  64, 277,116,133
 3, 3, 2,  63, 318,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  43, 151,470,597
 4, 3, 1,  27, 173,470,125
 4, 3, 2,  22, 173,125,470
 4, 4, 1,  30, 203,125,667
 4, 4, 2,  70, 243,667,125
 4, 5, 1,  19, 222,667,422
 4, 5, 2,  19, 262,422,667
 4, 6, 1,  64, 286,422,151
 4, 6, 2,  53, 315,151,422
 4, 7, 1,  73, 359,151,20
 4, 7, 2, 103, 418,20,151
 4, 8, 1,   7, 366,20,741
 4, 8, 2,   8, 426,741,20
 4, 9, 1,  18, 384,741,773
 4, 9, 2,  18, 444,773,741
 4,10, 1,  51, 435,773,152
 4,10, 2,   5, 449,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2,  91,  91,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2, 286, 377,528,510
 5, 3, 1,  16, 152,528,327
 5, 3, 2,  14, 391,327,528
 5, 4, 1,  15, 167,327,458
 5, 4, 2,  15, 406,458,327
 5, 5, 1,  26, 193,458,459
 5, 5, 2,  80, 486,459,458
 5, 6, 1,  87, 280,459,405
 5, 6, 2,  87, 573,405,459
 6, 1, 1,  36,  36,405,150
 6, 1, 2, 140, 140,150,405
 6, 2, 1,  23,  59,150,148
 6, 2, 2,  97, 237,148,150
 6, 3, 1,  28,  87,148,149
 6, 3, 2,  15, 252,149,148
 6, 4, 1,  73, 160,149,44
 6, 4, 2,  92, 344,44,149
 6, 5, 1,  29, 189,44,351
 6, 5, 2,  29, 373,351,44
 6, 6, 1,  16, 205,351,36
 6, 6, 2,   7, 380,36,351
 6, 7, 1,  22, 227,36,776
 6, 7, 2, 304, 684,776,36
 6, 8, 1,   7, 234,776,37
 6, 8, 2,   7, 691,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 113, 113,691,179
 7, 2, 1,  35,  78,691,64
 7, 2, 2,  14, 127,64,691
 7, 3, 1,  22, 100,64,65
 7, 3, 2,  51, 178,65,64
 7, 4, 1,  36, 136,65,66
 7, 4, 2,  36, 214,66,65
 7, 5, 1,  26, 162,66,750
 7, 5, 2,   4, 218,750,66
 7, 6, 1,  59, 221,750,63
 7, 6, 2,  59, 277,63,750
 7, 7, 1,  30, 251,63,67
 7, 7, 2,  47, 324,67,63
 7, 8, 1,  24, 275,67,55
 7, 8, 2,  26, 350,55,67
 7, 9, 1,  23, 298,55,61
 7, 9, 2,  38, 388,61,55
 7,10, 1,  22, 320,61,59
 7,10, 2,  56, 444,59,61
 7,11, 1,  18, 338,59,76
 7,11, 2,  31, 475,76,59
 7,12, 1,  22, 360,76,141
 7,12, 2,  22, 497,141,76
 7,13, 1,  14, 374,141,166
 7,13, 2,  27, 524,166,141
 7,14, 1,  25, 399,166,182
 7,14, 2,  14, 538,182,166
 7,15, 1,  14, 413,182,403
 7,15, 2,  83, 621,403,182
 8, 1, 1,  39,  39,81,38
 8, 1, 2,  62,  62,38,81
 8, 2, 1,  58,  97,38,280
 8, 2, 2, 102, 164,280,38
 8, 3, 1,  37, 134,280,142
