# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 196, 196,2127,175
 1, 1, 2, 299, 299,175,2127
 1, 2, 1, 205, 401,175,174
 1, 2, 2, 161, 460,174,175
 1, 3, 1, 116, 517,174,615
 1, 3, 2,  62, 522,615,174
 1, 4, 1,  32, 549,615,243
 1, 4, 2,  84, 606,243,615
 1, 5, 1,  31, 580,243,448
 1, 5, 2,  16, 622,448,243
 1, 6, 1, 237, 817,448,118
 1, 6, 2,  17, 639,118,448
 1, 7, 1,  16, 833,118,496
 1, 7, 2,  16, 655,496,118
 1, 8, 1, 114, 947,496,610
 1, 8, 2,   9, 664,610,496
 1, 9, 1, 104,1051,610,103
 1, 9, 2, 156, 820,103,610
 1,10, 1,   7,1058,103,614
 1,10, 2,  86, 906,614,103
 1,11, 1,  18,1076,614,613
 1,11, 2,  18, 924,613,614
 1,12, 1,  26,1102,613,104
 1,12, 2,  28, 952,104,613
 1,13, 1,  65,1167,104,758
 1,13, 2,   5, 957,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  79,  97,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 221, 318,196,26
 2, 3, 2, 525, 570,26,196
 2, 4, 1,  46, 364,26,193
 2, 4, 2,  78, 648,193,26
 2, 5, 1, 101, 465,193,37
 2, 5, 2,  49, 697,37,193
 2, 6, 1,  19, 484,37,152
 2, 6, 2,  79, 776,152,37
 2, 7, 1,  28, 512,152,760
 2, 7, 2,  97, 873,760,152
 3, 1, 1,  94,  94,269,39
 3, 1, 2,  70,  70,39,269
 3, 2, 1,  28, 122,39,116
 3, 2, 2,  32, 102,116,39
 3, 3, 1,  64, 186,116,133
 3, 3, 2,  63, 165,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  48, 156,470,597
 4, 3, 1,  38, 184,470,125
 4, 3, 2,  30, 186,125,470
 4, 4, 1,  30, 214,125,667
 4, 4, 2, 235, 421,667,125
 4, 5, 1,  93, 307,667,422
 4, 5, 2,  22, 443,422,667
 4, 6, 1,  38, 345,422,151
 4, 6, 2,  58, 501,151,422
 4, 7, 1,  73, 418,151,20
 4, 7, 2,  90, 591,20,151
 4, 8, 1,   7, 425,20,741
 4, 8, 2,   8, 599,741,20
 4, 9, 1,  18, 443,741,773
 4, 9, 2,  18, 617,773,741
 4,10, 1,  38, 481,773,152
 4,10, 2,   5, 622,152,773
 5, 1, 1, 109, 109,4012,510
 5, 1, 2,  91,  91,510,4012
 5, 2, 1,  45, 154,510,528
 5, 2, 2, 142, 233,528,510
 5, 3, 1,  15, 169,528,327
 5, 3, 2,  14, 247,327,528
 5, 4, 1,  15, 184,327,458
 5, 4, 2,  15, 262,458,327
 5, 5, 1,  23, 207,458,459
 5, 5, 2,  44, 306,459,458
 5, 6, 1,  87, 294,459,405
 5, 6, 2,  87, 393,405,459
 6, 1, 1,  50,  50,405,150
 6, 1, 2, 323, 323,150,405
 6, 2, 1,  23,  73,150,148
 6, 2, 2,  81, 404,148,150
 6, 3, 1,  34, 107,148,149
 6, 3, 2,  15, 419,149,148
 6, 4, 1,  73, 180,149,44
 6, 4, 2,  93, 512,44,149
 6, 5, 1,  29, 209,44,351
 6, 5, 2,  29, 541,351,44
 6, 6, 1,   8, 217,351,36
 6, 6, 2,   7, 548,36,351
 6, 7, 1,  22, 239,36,776
 6, 7, 2, 167, 715,776,36
 6, 8, 1,   7, 246,776,37
 6, 8, 2,   7, 722,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2,  71,  71,691,179
 7, 2, 1,  22,  65,691,64
 7, 2, 2,  14,  85,64,691
 7, 3, 1,  22,  87,64,65
 7, 3, 2,  24, 109,65,64
 7, 4, 1,  36, 123,65,66
 7, 4, 2,  36, 145,66,65
 7, 5, 1,  19, 142,66,750
 7, 5, 2,   4, 149,750,66
