# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 151, 151,2127,175
 1, 1, 2,  61,  61,175,2127
 1, 2, 1, 109, 260,175,174
 1, 2, 2,  64, 125,174,175
 1, 3, 1,   8, 268,174,615
 1, 3, 2,  41, 166,615,174
 1, 4, 1,  32, 300,615,243
 1, 4, 2,  16, 182,243,615
 1, 5, 1,  31, 331,243,448
 1, 5, 2,  16, 198,448,243
 1, 6, 1,  75, 406,448,118
 1, 6, 2,  17, 215,118,448
 1, 7, 1,  16, 422,118,496
 1, 7, 2,  16, 231,496,118
 1, 8, 1,  53, 475,496,610
 1, 8, 2,   9, 240,610,496
 1, 9, 1,  24, 499,610,103
 1, 9, 2,  28, 268,103,610
 1,10, 1,   7, 506,103,614
 1,10, 2,  16, 284,614,103
 1,11, 1,  18, 524,614,613
 1,11, 2,  18, 302,613,614
 1,12, 1,  10, 534,613,104
 1,12, 2,   9, 311,104,613
 1,13, 1,  32, 566,104,758
 1,13, 2,   5, 316,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  27,  45,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 104, 149,196,26
 2, 3, 2,  46,  91,26,196
 2, 4, 1,  43, 192,26,193
 2, 4, 2,  77, 168,193,26
 2, 5, 1, 121, 313,193,37
 2, 5, 2,  40, 208,37,193
 2, 6, 1,  45, 358,37,152
 2, 6, 2,  32, 240,152,37
 2, 7, 1,  28, 386,152,760
 2, 7, 2,  44, 284,760,152
 3, 1, 1,  25,  25,269,39
 3, 1, 2,  32,  32,39,269
 3, 2, 1,  28,  53,39,116
 3, 2, 2,  30,  62,116,39
 3, 3, 1,  65, 118,116,133
 3, 3, 2,  63, 125,133,116
 4, 1, 1, 111, 111,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  98, 209,597,470
 4, 2, 2,  40, 148,470,597
 4, 3, 1,  29, 238,470,125
 4, 3, 2,  18, 166,125,470
 4, 4, 1,  72, 310,125,667
 4, 4, 2,  70, 236,667,125
 4, 5, 1,  29, 339,667,422
 4, 5, 2,  19, 255,422,667
 4, 6, 1,  39, 378,422,151
 4, 6, 2,  63, 318,151,422
 4, 7, 1,  72, 450,151,20
 4, 7, 2,  74, 392,20,151
 4, 8, 1,   7, 457,20,741
 4, 8, 2,   7, 399,741,20
 4, 9, 1,  18, 475,741,773
 4, 9, 2,  18, 417,773,741
 4,10, 1,  59, 534,773,152
 4,10, 2,   5, 422,152,773
 5, 1, 1, 104, 104,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 149,510,528
 5, 2, 2,  46, 136,528,510
 5, 3, 1,  22, 171,528,327
 5, 3, 2,  14, 150,327,528
 5, 4, 1,  19, 190,327,458
