# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 274, 274,2127,175
 1, 1, 2,  63,  63,175,2127
 1, 2, 1, 130, 404,175,174
 1, 2, 2, 240, 303,174,175
 1, 3, 1,   8, 412,174,615
 1, 3, 2,  52, 355,615,174
 1, 4, 1,  32, 444,615,243
 1, 4, 2,  16, 371,243,615
 1, 5, 1,  31, 475,243,448
 1, 5, 2,  16, 387,448,243
 1, 6, 1, 496, 971,448,118
 1, 6, 2,  17, 404,118,448
 1, 7, 1,  16, 987,118,496
 1, 7, 2,  16, 420,496,118
 1, 8, 1, 130,1117,496,610
 1, 8, 2,   9, 429,610,496
 1, 9, 1, 131,1248,610,103
 1, 9, 2,  44, 473,103,610
 1,10, 1,   7,1255,103,614
 1,10, 2,  32, 505,614,103
 1,11, 1,  18,1273,614,613
 1,11, 2,  18, 523,613,614
 1,12, 1,  24,1297,613,104
 1,12, 2,   9, 532,104,613
 1,13, 1,  45,1342,104,758
 1,13, 2,   5, 537,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1, 383, 401,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1, 237, 638,196,26
 2, 3, 2, 106, 151,26,196
 2, 4, 1, 241, 879,26,193
 2, 4, 2, 480, 631,193,26
 2, 5, 1, 472,1351,193,37
 2, 5, 2,  42, 673,37,193
 2, 6, 1, 114,1465,37,152
 2, 6, 2,  48, 721,152,37
 2, 7, 1,  33,1498,152,760
 2, 7, 2, 337,1058,760,152
 3, 1, 1,  43,  43,269,39
 3, 1, 2,  56,  56,39,269
 3, 2, 1,  28,  71,39,116
 3, 2, 2,  31,  87,116,39
 3, 3, 1,  69, 140,116,133
 3, 3, 2,  63, 150,133,116
 4, 1, 1, 115, 115,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1, 101, 216,597,470
 4, 2, 2,  42, 150,470,597
 4, 3, 1,  32, 248,470,125
 4, 3, 2,  18, 168,125,470
 4, 4, 1, 299, 547,125,667
 4, 4, 2, 346, 514,667,125
 4, 5, 1,  32, 579,667,422
 4, 5, 2,  19, 533,422,667
 4, 6, 1,  51, 630,422,151
 4, 6, 2, 193, 726,151,422
 4, 7, 1,  72, 702,151,20
 4, 7, 2, 380,1106,20,151
