# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 168, 168,2127,175
 1, 1, 2,  62,  62,175,2127
 1, 2, 1, 111, 279,175,174
 1, 2, 2,  67, 129,174,175
 1, 3, 1,   8, 287,174,615
 1, 3, 2,  60, 189,615,174
 1, 4, 1,  32, 319,615,243
 1, 4, 2,  16, 205,243,615
 1, 5, 1,  31, 350,243,448
 1, 5, 2,  16, 221,448,243
 1, 6, 1,  86, 436,448,118
 1, 6, 2,  17, 238,118,448
 1, 7, 1,  16, 452,118,496
 1, 7, 2,  16, 254,496,118
 1, 8, 1,  84, 536,496,610
 1, 8, 2,   9, 263,610,496
 1, 9, 1,  32, 568,610,103
 1, 9, 2,  62, 325,103,610
 1,10, 1,   7, 575,103,614
 1,10, 2,  38, 363,614,103
 1,11, 1,  18, 593,614,613
 1,11, 2,  18, 381,613,614
 1,12, 1,  10, 603,613,104
 1,12, 2,   9, 390,104,613
 1,13, 1,  76, 679,104,758
 1,13, 2,   5, 395,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  27,  45,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  64, 109,196,26
 2, 3, 2,  45,  90,26,196
 2, 4, 1,  47, 156,26,193
 2, 4, 2,  66, 156,193,26
 2, 5, 1, 158, 314,193,37
 2, 5, 2,  51, 207,37,193
 2, 6, 1,  37, 351,37,152
 2, 6, 2,  53, 260,152,37
 2, 7, 1,  60, 411,152,760
 2, 7, 2, 119, 379,760,152
 3, 1, 1,  29,  29,269,39
 3, 1, 2,  29,  29,39,269
 3, 2, 1,  28,  57,39,116
 3, 2, 2,  32,  61,116,39
 3, 3, 1,  66, 123,116,133
 3, 3, 2,  63, 124,133,116
 4, 1, 1, 134, 134,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  52, 186,597,470
 4, 2, 2,  43, 151,470,597
 4, 3, 1,  47, 233,470,125
 4, 3, 2,  18, 169,125,470
 4, 4, 1,  44, 277,125,667
 4, 4, 2, 106, 275,667,125
 4, 5, 1,  37, 314,667,422
 4, 5, 2,  21, 296,422,667
 4, 6, 1,  48, 362,422,151
 4, 6, 2, 172, 468,151,422
 4, 7, 1,  72, 434,151,20
 4, 7, 2, 106, 574,20,151
 4, 8, 1,   7, 441,20,741
 4, 8, 2,   7, 581,741,20
 4, 9, 1,  18, 459,741,773
 4, 9, 2,  18, 599,773,741
 4,10, 1,  80, 539,773,152
 4,10, 2,   5, 604,152,773
 5, 1, 1, 127, 127,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 172,510,528
 5, 2, 2,  48, 138,528,510
 5, 3, 1,  93, 265,528,327
 5, 3, 2,  14, 152,327,528
 5, 4, 1,  35, 300,327,458
 5, 4, 2, 162, 314,458,327
 5, 5, 1,  34, 334,458,459
 5, 5, 2,  39, 353,459,458
 5, 6, 1,  93, 427,459,405
 5, 6, 2,  89, 442,405,459
 6, 1, 1,  59,  59,405,150
 6, 1, 2, 242, 242,150,405
 6, 2, 1,  22,  81,150,148
 6, 2, 2,  88, 330,148,150
 6, 3, 1,  68, 149,148,149
 6, 3, 2,  14, 344,149,148
 6, 4, 1,  75, 224,149,44
 6, 4, 2,  96, 440,44,149
 6, 5, 1,  29, 253,44,351
 6, 5, 2,  29, 469,351,44
 6, 6, 1,  33, 286,351,36
 6, 6, 2,   7, 476,36,351
 6, 7, 1,  22, 308,36,776
 6, 7, 2,  74, 550,776,36
 6, 8, 1,   7, 315,776,37
 6, 8, 2,   7, 557,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2, 242, 242,691,179
 7, 2, 1, 109, 152,691,64
 7, 2, 2,  14, 256,64,691
 7, 3, 1,  22, 174,64,65
 7, 3, 2,  29, 285,65,64
 7, 4, 1,  36, 210,65,66
 7, 4, 2,  36, 321,66,65
 7, 5, 1,  53, 263,66,750
 7, 5, 2,   4, 325,750,66
 7, 6, 1,  61, 324,750,63
 7, 6, 2,  59, 384,63,750
 7, 7, 1,  51, 375,63,67
 7, 7, 2,  78, 462,67,63
 7, 8, 1,  38, 413,67,55
 7, 8, 2,  37, 499,55,67
 7, 9, 1,  33, 446,55,61
 7, 9, 2, 119, 618,61,55
 7,10, 1,  77, 523,61,59
 7,10, 2,  56, 674,59,61
 7,11, 1,  18, 541,59,76
 7,11, 2,  26, 700,76,59
 7,12, 1,  22, 563,76,141
 7,12, 2,  22, 722,141,76
 7,13, 1,  14, 577,141,166
 7,13, 2,  72, 794,166,141
 7,14, 1,  28, 605,166,182
 7,14, 2,  14, 808,182,166
 7,15, 1,  14, 619,182,403
 7,15, 2,  32, 840,403,182
 8, 1, 1,  34,  34,81,38
 8, 1, 2,  39,  39,38,81
 8, 2, 1,  58,  92,38,280
 8, 2, 2,  65, 104,280,38
 8, 3, 1,  38, 130,280,142
 8, 3, 2,  36, 140,142,280
 8, 4, 1,  21, 151,142,126
 8, 4, 2,  67, 207,126,142
 8, 5, 1,   7, 158,126,653
 8, 5, 2,  56, 263,653,126
 8, 6, 1,  52, 210,653,35
 8, 6, 2,  14, 277,35,653
 8, 7, 1,  35, 245,35,193
 8, 7, 2,  50, 327,193,35
 9, 1, 1,  43,  43,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 143,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 211,90,630
 9, 3, 2,  70, 207,630,90
 9, 4, 1,  73, 284,630,223
 9, 4, 2,  70, 277,223,630
 9, 5, 1,  72, 356,223,224
 9, 5, 2,  72, 349,224,223
 9, 6, 1,  58, 414,224,506
 9, 6, 2,  40, 389,506,224
 9, 7, 1,  34, 448,506,41
 9, 7, 2,  32, 421,41,506
 9, 8, 1,  32, 480,41,655
 9, 8, 2,  28, 449,655,41
 9, 9, 1,  44, 524,655,443
 9, 9, 2,  46, 495,443,655
 9,10, 1,  55, 579,443,73
 9,10, 2,  31, 526,73,443
 9,11, 1,  47, 626,73,72
 9,11, 2,  57, 583,72,73
 9,12, 1,  41, 667,72,194
 9,12, 2,  66, 649,194,72
 9,13, 1,  29, 696,194,282
 9,13, 2,  29, 678,282,194
 9,14, 1,  27, 723,282,2
 9,14, 2,  20, 698,2,282
 9,15, 1,  18, 741,2,203
 9,15, 2,  44, 742,203,2
 9,16, 1,  34, 775,203,3
 9,16, 2,  14, 756,3,203
10, 1, 1,  38,  38,124,410
10, 1, 2,  47,  47,410,124
10, 2, 1,  72, 110,410,189
10, 2, 2,  73, 120,189,410
10, 3, 1,   4, 114,189,738
10, 3, 2,  31, 151,738,189
10, 4, 1,  82, 196,738,372
10, 4, 2,  79, 230,372,738
10, 5, 1,  33, 229,372,42
10, 5, 2,  15, 245,42,372
10, 6, 1,  56, 285,42,172
10, 6, 2,  60, 305,172,42
10, 7, 1, 108, 393,172,370
10, 7, 2, 115, 420,370,172
11, 1, 1,  59,  59,130,5
11, 1, 2,  59,  59,5,130
11, 2, 1,  37,  96,5,151
11, 2, 2,  14,  73,151,5
11, 3, 1,  60, 156,151,127
11, 3, 2,  54, 127,127,151
11, 4, 1, 107, 263,127,149
11, 4, 2,   7, 134,149,127
11, 5, 1,  72, 335,149,432
11, 5, 2,  86, 220,432,149
12, 1, 1,   8,   8,832,9
12, 1, 2,   7,   7,9,832
12, 2, 1,  72,  80,9,178
12, 2, 2,  72,  79,178,9
12, 3, 1,  52, 132,178,148
12, 3, 2,  52, 131,148,178
13, 1, 1,  88,  88,2,3
13, 1, 2,  57,  57,3,2
13, 2, 1, 258, 346,3,513
13, 2, 2,  19,  76,513,3
13, 3, 1,  61, 407,513,354
13, 3, 2,  30, 106,354,513
13, 4, 1,  71, 478,354,355
13, 4, 2,  30, 136,355,354
13, 5, 1,  39, 517,355,439
13, 5, 2,  30, 166,439,355
13, 6, 1,  39, 556,439,145
13, 6, 2,  25, 191,145,439
13, 7, 1,  80, 636,145,143
13, 7, 2,  16, 207,143,145
13, 8, 1,  51, 687,143,144
13, 8, 2,  32, 239,144,143
14, 1, 1,  22,  22,456,110
14, 1, 2,  22,  22,110,456
14, 2, 1, 123, 145,110,109
14, 2, 2, 123, 145,109,110
14, 3, 1,  20, 165,109,331
14, 3, 2,  19, 164,331,109
14, 4, 1,  11, 176,331,586
14, 4, 2,  26, 190,586,331
14, 5, 1,  34, 210,586,107
14, 5, 2,  25, 215,107,586
14, 6, 1,  40, 250,107,701
14, 6, 2,  55, 270,701,107
14, 7, 1,  37, 287,701,108
14, 7, 2,  36, 306,108,701
14, 8, 1,  45, 332,108,73
14, 8, 2,  45, 351,73,108
14, 9, 1,  46, 378,73,72
14, 9, 2,  46, 397,72,73
14,10, 1,  26, 404,72,132
14,10, 2,  26, 423,132,72
15, 1, 1,  47,  47,49,50
15, 1, 2,  10,  10,50,49
15, 2, 1,  31,  78,50,272
15, 2, 2,  16,  26,272,50
15, 3, 1, 143, 221,272,229
15, 3, 2,  10,  36,229,272
15, 4, 1, 233, 454,229,196
15, 4, 2,  16,  52,196,229
16, 1, 1,  13,  13,197,196
16, 1, 2,  13,  13,196,197
16, 2, 1,  23,  36,196,232
16, 2, 2,  22,  35,232,196
16, 3, 1,  22,  58,232,226
16, 3, 2,  22,  57,226,232
16, 4, 1,  34,  92,226,272
16, 4, 2,  33,  90,272,226
16, 5, 1,  12, 104,272,50
16, 5, 2,  11, 101,50,272
16, 6, 1,  16, 120,50,49
16, 6, 2,  15, 116,49,50
17, 1, 1, 105, 105,229,301
17, 1, 2, 105, 105,301,229
17, 2, 1,  23, 128,301,163
17, 2, 2,  23, 128,163,301
17, 3, 1,  20, 148,163,70
17, 3, 2,  16, 144,70,163
17, 4, 1,  67, 215,70,157
17, 4, 2,  66, 210,157,70
17, 5, 1,  48, 263,157,295
17, 5, 2,  54, 264,295,157
17, 6, 1,  10, 273,295,158
17, 6, 2,   9, 273,158,295
17, 7, 1,  12, 285,158,623
17, 7, 2,  18, 291,623,158
17, 8, 1,  14, 299,623,156
17, 8, 2,  14, 305,156,623
17, 9, 1,  46, 345,156,155
17, 9, 2,  36, 341,155,156
17,10, 1,  89, 434,155,187
17,10, 2,  84, 425,187,155
17,11, 1,  92, 526,187,599
17,11, 2,  79, 504,599,187
17,12, 1,  71, 597,599,311
17,12, 2,  99, 603,311,599
18, 1, 1,  43,  43,727,797
18, 1, 2,  45,  45,797,727
18, 2, 1, 127, 170,797,456
18, 2, 2, 115, 160,456,797
18, 3, 1,  58, 228,456,110
18, 3, 2,  24, 184,110,456
18, 4, 1,  98, 326,110,109
18, 4, 2, 124, 308,109,110
18, 5, 1,  20, 346,109,331
18, 5, 2,  19, 327,331,109
18, 6, 1,  17, 363,331,586
18, 6, 2,  26, 353,586,331
18, 7, 1,  27, 390,586,107
18, 7, 2,  28, 381,107,586
18, 8, 1,  32, 422,107,701
18, 8, 2,  33, 414,701,107
18, 9, 1,  36, 458,701,108
18, 9, 2,  36, 450,108,701
18,10, 1,   7, 465,108,594
18,10, 2,  11, 461,594,108
18,11, 1,  29, 494,594,73
18,11, 2,  29, 490,73,594
18,12, 1,  61, 555,73,72
18,12, 2,  61, 551,72,73
18,13, 1,  26, 581,72,132
18,13, 2,  26, 577,132,72
18,14, 1,  33, 614,132,194
18,14, 2,  14, 591,194,132
18,15, 1,  36, 650,194,282
18,15, 2,  37, 628,282,194
18,16, 1,  41, 691,282,2
18,16, 2,  25, 653,2,282
18,17, 1,  57, 748,2,3
18,17, 2,  57, 710,3,2
18,18, 1, 174, 922,3,513
