# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 139, 139,2127,175
 1, 1, 2,  62,  62,175,2127
 1, 2, 1, 109, 248,175,174
 1, 2, 2, 103, 165,174,175
 1, 3, 1,  58, 306,174,615
 1, 3, 2,  52, 217,615,174
 1, 4, 1,  32, 338,615,243
 1, 4, 2,  56, 273,243,615
 1, 5, 1,  31, 369,243,448
 1, 5, 2,  16, 289,448,243
 1, 6, 1,  69, 438,448,118
 1, 6, 2,  17, 306,118,448
 1, 7, 1,  16, 454,118,496
 1, 7, 2,  16, 322,496,118
 1, 8, 1,  73, 527,496,610
 1, 8, 2,   9, 331,610,496
 1, 9, 1,  32, 559,610,103
 1, 9, 2,  32, 363,103,610
 1,10, 1,   7, 566,103,614
 1,10, 2,  22, 385,614,103
 1,11, 1,  18, 584,614,613
 1,11, 2,  18, 403,613,614
 1,12, 1,  10, 594,613,104
 1,12, 2,  34, 437,104,613
 1,13, 1,  47, 641,104,758
 1,13, 2,   5, 442,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1,  98, 116,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  44, 160,196,26
 2, 3, 2,  59, 104,26,196
 2, 4, 1,  37, 197,26,193
 2, 4, 2, 100, 204,193,26
 2, 5, 1,  34, 231,193,37
 2, 5, 2,  36, 240,37,193
 2, 6, 1,  21, 252,37,152
 2, 6, 2,  43, 283,152,37
 2, 7, 1,  24, 276,152,760
 2, 7, 2, 101, 384,760,152
 3, 1, 1,  34,  34,269,39
 3, 1, 2,  23,  23,39,269
 3, 2, 1,  28,  62,39,116
 3, 2, 2,  30,  53,116,39
 3, 3, 1,  64, 126,116,133
 3, 3, 2,  63, 116,133,116
 4, 1, 1, 109, 109,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1,  37, 146,597,470
 4, 2, 2,  39, 147,470,597
 4, 3, 1,  19, 165,470,125
 4, 3, 2,  25, 172,125,470
 4, 4, 1,  30, 195,125,667
 4, 4, 2, 297, 469,667,125
 4, 5, 1,  19, 214,667,422
 4, 5, 2,  20, 489,422,667
 4, 6, 1,  37, 251,422,151
 4, 6, 2,  44, 533,151,422
 4, 7, 1,  73, 324,151,20
 4, 7, 2,  76, 609,20,151
 4, 8, 1,   7, 331,20,741
 4, 8, 2,   8, 617,741,20
 4, 9, 1,  18, 349,741,773
 4, 9, 2,  18, 635,773,741
 4,10, 1,  36, 385,773,152
 4,10, 2,   5, 640,152,773
 5, 1, 1,  91,  91,4012,510
 5, 1, 2, 152, 152,510,4012
 5, 2, 1,  45, 136,510,528
 5, 2, 2,  46, 198,528,510
 5, 3, 1,  15, 151,528,327
 5, 3, 2,  14, 212,327,528
 5, 4, 1,  15, 166,327,458
 5, 4, 2,  16, 228,458,327
 5, 5, 1,  23, 189,458,459
 5, 5, 2,  23, 251,459,458
 5, 6, 1,  87, 276,459,405
 5, 6, 2,  87, 338,405,459
 6, 1, 1,  23,  23,405,150
 6, 1, 2,  91,  91,150,405
 6, 2, 1,  23,  46,150,148
 6, 2, 2,  27, 118,148,150
 6, 3, 1,  33,  79,148,149
 6, 3, 2,  15, 133,149,148
 6, 4, 1,  73, 152,149,44
 6, 4, 2, 101, 234,44,149
 6, 5, 1,  29, 181,44,351
 6, 5, 2,  29, 263,351,44
 6, 6, 1,   8, 189,351,36
 6, 6, 2,   7, 270,36,351
 6, 7, 1,  22, 211,36,776
 6, 7, 2, 284, 554,776,36
 6, 8, 1,   7, 218,776,37
 6, 8, 2,   7, 561,37,776
 7, 1, 1,  43,  43,179,691
 7, 1, 2,  68,  68,691,179
 7, 2, 1,  25,  68,691,64
 7, 2, 2,  14,  82,64,691
 7, 3, 1,  22,  90,64,65
 7, 3, 2,  32, 114,65,64
 7, 4, 1,  36, 126,65,66
 7, 4, 2,  36, 150,66,65
 7, 5, 1,  26, 152,66,750
 7, 5, 2,   4, 154,750,66
 7, 6, 1,  59, 211,750,63
 7, 6, 2,  58, 212,63,750
 7, 7, 1,  30, 241,63,67
 7, 7, 2,  94, 306,67,63
 7, 8, 1,  25, 266,67,55
 7, 8, 2, 129, 435,55,67
 7, 9, 1,  23, 289,55,61
 7, 9, 2,  28, 463,61,55
 7,10, 1,  25, 314,61,59
 7,10, 2,  92, 555,59,61
 7,11, 1,  18, 332,59,76
 7,11, 2,  24, 579,76,59
 7,12, 1,  22, 354,76,141
 7,12, 2,  22, 601,141,76
 7,13, 1,  14, 368,141,166
 7,13, 2, 207, 808,166,141
 7,14, 1,  38, 406,166,182
 7,14, 2,  14, 822,182,166
 7,15, 1,  14, 420,182,403
 7,15, 2,  75, 897,403,182
 8, 1, 1,  30,  30,81,38
 8, 1, 2,  42,  42,38,81
 8, 2, 1,  58,  88,38,280
 8, 2, 2,  62, 104,280,38
 8, 3, 1,  37, 125,280,142
 8, 3, 2,  36, 140,142,280
 8, 4, 1,  15, 140,142,126
 8, 4, 2,  85, 225,126,142
 8, 5, 1,   7, 147,126,653
 8, 5, 2,  27, 252,653,126
 8, 6, 1, 152, 299,653,35
 8, 6, 2,  14, 266,35,653
 8, 7, 1,  16, 315,35,193
 8, 7, 2,  48, 314,193,35
 9, 1, 1,  39,  39,69,494
 9, 1, 2,  38,  38,494,69
 9, 2, 1, 100, 139,494,90
 9, 2, 2,  99, 137,90,494
 9, 3, 1,  68, 207,90,630
 9, 3, 2,  70, 207,630,90
 9, 4, 1,  71, 278,630,223
 9, 4, 2,  70, 277,223,630
 9, 5, 1,  72, 350,223,224
 9, 5, 2,  72, 349,224,223
 9, 6, 1,  41, 391,224,506
 9, 6, 2,  40, 389,506,224
 9, 7, 1,  33, 424,506,41
 9, 7, 2,  32, 421,41,506
 9, 8, 1,  26, 450,41,655
 9, 8, 2,  27, 448,655,41
 9, 9, 1,  43, 493,655,443
